h,ACC
1,0.2788093550673281
2,0.27866761162296244
3,0.26888731396172927
4,0.27824238128986534
5,0.2674698795180723
6,0.2720056697377746
7,0.2639262934089298
8,0.2691708008504607
9,0.2663359319631467
10,0.2745570517363572
11,0.2691708008504607
12,0.27285613040396883
13,0.27030474840538626
14,0.2721474131821403
15,0.26704464918497517
16,0.2735648476257973
17,0.2663359319631467
18,0.26888731396172927
19,0.26406803685329555
20,0.26378454996456413
21,0.260099220411056
22,0.26902905740609495
23,0.26236711552090713
24,0.26562721474131823
