h,MAE_z,RMSE_z,MAE_C,RMSE_C
1,0.13249213993549347,0.17204661667346954,1.307069182395935,1.697284460067749
2,0.1488000899553299,0.1935494989156723,1.4679512977600098,1.9094159603118896
3,0.1661461442708969,0.21657197177410126,1.639074683189392,2.1365387439727783
4,0.17922112345695496,0.23393064737319946,1.7680628299713135,2.307786464691162
5,0.18870581686496735,0.2469256967306137,1.8616321086883545,2.435986280441284
6,0.19590796530246735,0.2558695673942566,1.932682991027832,2.524219512939453
7,0.20235414803028107,0.2636133134365082,1.9962760210037231,2.600613594055176
8,0.20698966085910797,0.26902058720588684,2.042006731033325,2.6539578437805176
9,0.21202857792377472,0.275443971157074,2.091716766357422,2.7173261642456055
10,0.215050607919693,0.2801569998264313,2.121530055999756,2.7638213634490967
11,0.220510795712471,0.2863273024559021,2.175396203994751,2.824693202972412
12,0.22309468686580658,0.29016369581222534,2.2008869647979736,2.8625400066375732
13,0.22716175019741058,0.294306218624115,2.241009473800659,2.903407096862793
14,0.22959870100021362,0.29776301980018616,2.2650506496429443,2.937509059906006
15,0.23161576688289642,0.2998180091381073,2.284949779510498,2.957782030105591
16,0.23359955847263336,0.30220115184783936,2.30452036857605,2.981292486190796
17,0.2363581657409668,0.30561143159866333,2.3317344188690186,3.0149362087249756
18,0.23787854611873627,0.30803292989730835,2.346733331680298,3.0388247966766357
19,0.2407437264919281,0.3122786581516266,2.374999523162842,3.080709934234619
20,0.24441593885421753,0.31643030047416687,2.411226511001587,3.121666669845581
21,0.24824309349060059,0.3216968774795532,2.4489827156066895,3.1736230850219727
22,0.25175920128822327,0.3259304165840149,2.4836699962615967,3.215388059616089
23,0.25588148832321167,0.3313310742378235,2.5243372917175293,3.2686667442321777
24,0.25964611768722534,0.3359143137931824,2.561476230621338,3.3138816356658936
