feature,delta_mse
Temperature (C)_normalized,0.7433477193117142
h_cos,0.06674178689718246
doy_cos,0.055491045117378235
h_sin,0.05458908528089523
Humidity_normalized,0.011288616806268692
Pressure (millibars)_normalized,0.006872501224279404
Wind Speed (km/h)_normalized,0.0067889504134655
wind_bearing_cos,0.006760299205780029
Summary_Overcast,0.005881931632757187
Summary_Clear,0.0024484917521476746
doy_sin,0.0018293485045433044
Summary_Partly Cloudy,0.0016059651970863342
wind_bearing_sin,0.0012659505009651184
Summary_Mostly Cloudy,0.0008759982883930206
Precip Type_normalized,0.0005995109677314758
dow_sin,0.00032344087958335876
dow_cos,7.813051342964172e-05
Visibility (km)_normalized,7.009506225585938e-05
Summary_Foggy,-1.8477439880371094e-05
