h,MAE_z,RMSE_z,MAE_C,RMSE_C
1,0.10209432989358902,0.13203079998493195,1.007187008857727,1.3025181293487549
2,0.11769650131464005,0.15292108058929443,1.1611064672470093,1.508606195449829
3,0.13613972067832947,0.17793557047843933,1.3430536985397339,1.7553805112838745
4,0.1530725657939911,0.19925640523433685,1.5101006031036377,1.965716004371643
5,0.1692320704460144,0.21991415321826935,1.669518232345581,2.1695103645324707
6,0.18322616815567017,0.23612037301063538,1.8075735569000244,2.329388380050659
7,0.19322244822978973,0.24929524958133698,1.9061893224716187,2.459362268447876
8,0.20313242077827454,0.25961408019065857,2.0039539337158203,2.561160087585449
9,0.2087647169828415,0.2675614058971405,2.0595180988311768,2.6395626068115234
10,0.21513940393924713,0.27388742566108704,2.122406005859375,2.7019705772399902
11,0.22001458704471588,0.28061261773109436,2.1705009937286377,2.7683162689208984
12,0.2265157848596573,0.2869265079498291,2.2346367835998535,2.830604076385498
13,0.23190715909004211,0.29397523403167725,2.2878241539001465,2.900141954421997
14,0.23847874999046326,0.301206111907959,2.352654457092285,2.9714763164520264
15,0.24172744154930115,0.305474191904068,2.3847038745880127,3.0135819911956787
16,0.24557124078273773,0.31021004915237427,2.422624111175537,3.060302257537842
17,0.2508625090122223,0.31716981530189514,2.4748237133026123,3.128962278366089
18,0.25422972440719604,0.3214462399482727,2.508042335510254,3.1711506843566895
19,0.25867050886154175,0.3269687294960022,2.551851511001587,3.2256314754486084
20,0.2618039846420288,0.3310873806476593,2.5827643871307373,3.2662627696990967
21,0.26548030972480774,0.33612629771232605,2.619032144546509,3.3159730434417725
22,0.2676701843738556,0.3384094536304474,2.6406357288360596,3.3384969234466553
23,0.2692702114582062,0.3406813442707062,2.6564202308654785,3.3609097003936768
24,0.2694050073623657,0.34126660227775574,2.657750368118286,3.3666832447052
