feature,delta_mse
doy_cos,0.35338958352804184
Temperature (C)_normalized,0.2620178982615471
h_cos,0.07224532216787338
h_sin,0.05585234612226486
Humidity_normalized,0.021047107875347137
wind_bearing_cos,0.013591505587100983
doy_sin,0.009390696883201599
Pressure (millibars)_normalized,0.008369587361812592
Visibility (km)_normalized,0.005745001137256622
Wind Speed (km/h)_normalized,0.005270779132843018
wind_bearing_sin,0.0037697553634643555
Summary_Foggy,0.0034375935792922974
Summary_Clear,0.0031813383102416992
Summary_Overcast,0.0026487112045288086
dow_sin,0.002172321081161499
Summary_Mostly Cloudy,0.0018676593899726868
Summary_Partly Cloudy,0.00046040862798690796
Precip Type_normalized,-4.30569052696228e-05
dow_cos,-0.0009192377328872681
