feature,delta_mse
Temperature (C)_normalized,0.7262172251939774
doy_cos,0.07461416721343994
h_cos,0.045418232679367065
h_sin,0.044737301766872406
doy_sin,0.008183799684047699
Pressure (millibars)_normalized,0.007845580577850342
Humidity_normalized,0.007735900580883026
wind_bearing_cos,0.007676675915718079
Wind Speed (km/h)_normalized,0.0030668526887893677
Summary_Mostly Cloudy,0.0025784745812416077
wind_bearing_sin,0.0015911012887954712
Visibility (km)_normalized,0.0013323351740837097
Summary_Overcast,0.0012765079736709595
Summary_Clear,0.0011450499296188354
Precip Type_normalized,0.0007172152400016785
Summary_Partly Cloudy,0.0007114410400390625
Summary_Foggy,-0.00011670589447021484
dow_sin,-0.000291287899017334
dow_cos,-0.0008678808808326721
