feature,delta_mse,delta_mse_%,base_mse
doy_cos,0.3214800783543813,194.1664988518688,0.16556928216522102
doy_sin,0.08241776749206109,49.77841687434309,0.16556928216522102
Pressure (millibars)_normalized,0.020537625191618614,12.404248495275946,0.16556928216522102
Apparent Temperature (C)_normalized,0.019375891704261572,11.702588457758992,0.16556928216522102
Temperature (C)_normalized,0.018608142776483955,11.238885941363781,0.16556928216522102
h_sin,0.013175581869484865,7.957745360239586,0.16556928216522102
wind_bearing_cos,0.012935253410972736,7.812592554496124,0.16556928216522102
h_cos,0.012927359878846578,7.807825044470755,0.16556928216522102
Precip Type_normalized,0.009688511437859315,5.851635829520106,0.16556928216522102
Visibility (km)_normalized,0.008334442067581632,5.033809386975974,0.16556928216522102
Humidity_normalized,0.007327265545743478,4.425498166037602,0.16556928216522102
wind_bearing_sin,0.0049897778037533425,3.013709873292837,0.16556928216522102
Wind Speed (km/h)_normalized,0.0045356689207528555,2.739438657604813,0.16556928216522102
Summary_Clear,0.0003903986770223411,0.23579173136280412,0.16556928216522102
Summary_Mostly Cloudy,-5.169515950695369e-05,-0.031222675384536165,0.16556928216522102
Summary_Overcast,-0.0008328209601093928,-0.5030045122007134,0.16556928216522102
Summary_Partly Cloudy,-0.0009059027991100976,-0.5471442451541828,0.16556928216522102
dow_sin,-0.0009643470682710042,-0.5824432259775613,0.16556928216522102
Summary_Foggy,-0.0010182678167791337,-0.6150101054149693,0.16556928216522102
dow_cos,-0.0010938049660833005,-0.6606327887511141,0.16556928216522102
trend_normalized,-0.0011119212472602558,-0.6715746017130602,0.16556928216522102
