feature,delta_mse,delta_mse_%,base_mse
doy_cos,0.5541511573544751,567.0701173863448,0.09772180553413502
wind_bearing_cos,0.04863768506520509,49.77157841011805,0.09772180553413502
Precip Type_normalized,0.036931855088907686,37.792849699248634,0.09772180553413502
Humidity_normalized,0.02666849231752981,27.290216520011278,0.09772180553413502
Wind Speed (km/h)_normalized,0.023514729820761804,24.062930164084943,0.09772180553413502
Pressure (millibars)_normalized,0.02036861442764476,20.843469189207557,0.09772180553413502
h_sin,0.019716817883316223,20.17647727193188,0.09772180553413502
h_cos,0.019174872743666638,19.621897731892293,0.09772180553413502
wind_bearing_sin,0.008695894203288368,8.898622119963616,0.09772180553413502
doy_sin,0.007449137578583287,7.6227997813458765,0.09772180553413502
Visibility (km)_normalized,0.007294270613895815,7.46432239358069,0.09772180553413502
Summary_Overcast,0.0042556918174925795,4.354905022713719,0.09772180553413502
Summary_Mostly Cloudy,0.0006562316281525649,0.6715303964818147,0.09772180553413502
Summary_Clear,0.0006081152329522471,0.6222922607992825,0.09772180553413502
dow_cos,0.0004650903845708071,0.4759330653262922,0.09772180553413502
dow_sin,0.00023447896791353728,0.23994539052149613,0.09772180553413502
Summary_Foggy,-0.0003638022929667306,-0.37228363820974586,0.09772180553413502
Summary_Partly Cloudy,-0.0005158642195384339,-0.5278905938329581,0.09772180553413502
trend_normalized,-0.0007493948185472721,-0.7668655060671207,0.09772180553413502
