Formatted Date,pred_Temperature (C)_normalized,pred_Temperature (C)
2016-12-31 23:00:00,-1.2187468,-1.1499969
2017-01-01 00:00:00,-1.191124,-1.123479
2017-01-01 01:00:00,-1.1847064,-1.1173182
2017-01-01 02:00:00,-1.1639444,-1.0973866
2017-01-01 03:00:00,-1.1352097,-1.0698013
2017-01-01 04:00:00,-1.1289648,-1.0638062
2017-01-01 05:00:00,-1.110671,-1.0462441
2017-01-01 06:00:00,-1.0270762,-0.96599317
2017-01-01 07:00:00,-0.95257384,-0.8944709
2017-01-01 08:00:00,-0.89112043,-0.8354756
2017-01-01 09:00:00,-0.81350166,-0.7609616
2017-01-01 10:00:00,-0.6979526,-0.65003455
2017-01-01 11:00:00,-0.64238477,-0.5966894
2017-01-01 12:00:00,-0.6445329,-0.5987516
2017-01-01 13:00:00,-0.6812451,-0.6339953
2017-01-01 14:00:00,-0.7177064,-0.6689981
2017-01-01 15:00:00,-0.7536179,-0.70347315
2017-01-01 16:00:00,-0.8354638,-0.78204525
2017-01-01 17:00:00,-0.97675097,-0.9176809
2017-01-01 18:00:00,-1.047968,-0.9860493
2017-01-01 19:00:00,-1.1234003,-1.0584643
2017-01-01 20:00:00,-1.1466997,-1.0808316
2017-01-01 21:00:00,-1.1638639,-1.0973094
2017-01-01 22:00:00,-1.175114,-1.1081095
