feature,delta_mse,delta_mse_%,base_mse
doy_cos,0.2135364349259841,123.96154792354446,0.1722602198043595
doy_sin,0.09673411659005879,56.15580701099899,0.1722602198043595
Apparent Temperature (C)_normalized,0.023288001118325075,13.519082435151816,0.1722602198043595
Temperature (C)_normalized,0.022266475733659585,12.926069500519747,0.1722602198043595
Pressure (millibars)_normalized,0.0221727292760672,12.871648080589562,0.1722602198043595
h_sin,0.014187518484136019,8.236096819247742,0.1722602198043595
h_cos,0.013847088829774368,8.038471589959002,0.1722602198043595
Precip Type_normalized,0.012387934767649128,7.191407732858135,0.1722602198043595
wind_bearing_cos,0.010919668994902654,6.339054372103097,0.1722602198043595
Humidity_normalized,0.004084079368321031,2.3708778341043732,0.1722602198043595
Visibility (km)_normalized,0.0039691678970414646,2.3041697622058965,0.1722602198043595
Wind Speed (km/h)_normalized,0.0034677231217919435,2.013072504917461,0.1722602198043595
wind_bearing_sin,0.0034156045466568197,1.9828167818060447,0.1722602198043595
Summary_Partly Cloudy,0.0025816972883655476,1.498719374268563,0.1722602198043595
Summary_Clear,0.001930380523977454,1.120618867298462,0.1722602198043595
trend_normalized,0.0004258155604673075,0.24719320627299649,0.1722602198043595
Summary_Overcast,-0.00013250790713462135,-0.07692310347979012,0.1722602198043595
Summary_Mostly Cloudy,-0.000428663171436805,-0.24884629308127507,0.1722602198043595
Summary_Foggy,-0.0005144846039338569,-0.2986671005750316,0.1722602198043595
dow_sin,-0.0021830282763193876,-1.2672852030484525,0.1722602198043595
dow_cos,-0.0022567368125290532,-1.3100742673451184,0.1722602198043595
