Formatted Date,pred_Temperature (C)_normalized,pred_Temperature (C)
2016-12-31 23:00:00,-0.9863923,-0.9269366
2017-01-01 00:00:00,-1.1406877,-1.0750602
2017-01-01 01:00:00,-1.1502446,-1.0842348
2017-01-01 02:00:00,-1.0210075,-0.9601672
2017-01-01 03:00:00,-1.179581,-1.1123978
2017-01-01 04:00:00,-1.1749054,-1.1079092
2017-01-01 05:00:00,-1.1037334,-1.039584
2017-01-01 06:00:00,-1.0631697,-1.0006429
2017-01-01 07:00:00,-1.0048492,-0.94465524
2017-01-01 08:00:00,-1.0067844,-0.94651306
2017-01-01 09:00:00,-1.066084,-1.0034406
2017-01-01 10:00:00,-1.1283764,-1.0632414
2017-01-01 11:00:00,-0.96485263,-0.9062585
2017-01-01 12:00:00,-0.963356,-0.90482175
2017-01-01 13:00:00,-1.0259588,-0.9649204
2017-01-01 14:00:00,-0.9391069,-0.8815426
2017-01-01 15:00:00,-0.9619229,-0.90344596
2017-01-01 16:00:00,-0.92161393,-0.8647494
2017-01-01 17:00:00,-0.9619647,-0.90348613
2017-01-01 18:00:00,-0.9621389,-0.9036533
2017-01-01 19:00:00,-0.99875474,-0.93880457
2017-01-01 20:00:00,-1.0063856,-0.94613016
2017-01-01 21:00:00,-1.1134858,-1.0489464
2017-01-01 22:00:00,-1.202089,-1.1340054
2017-01-01 23:00:00,-1.1438621,-1.0781076
2017-01-02 00:00:00,-1.146466,-1.0806074
2017-01-02 01:00:00,-1.2888062,-1.2172539
2017-01-02 02:00:00,-1.1290773,-1.0639142
2017-01-02 03:00:00,-1.1364048,-1.0709486
2017-01-02 04:00:00,-1.2449112,-1.1751148
2017-01-02 05:00:00,-1.2836162,-1.2122716
2017-01-02 06:00:00,-1.1723279,-1.1054348
2017-01-02 07:00:00,-1.1000282,-1.0360271
2017-01-02 08:00:00,-1.0907614,-1.027131
2017-01-02 09:00:00,-1.030179,-0.96897185
2017-01-02 10:00:00,-1.0320406,-0.970759
2017-01-02 11:00:00,-0.9543536,-0.89617944
2017-01-02 12:00:00,-0.977171,-0.91808414
2017-01-02 13:00:00,-1.0017087,-0.9416404
2017-01-02 14:00:00,-1.0266893,-0.9656217
2017-01-02 15:00:00,-1.021826,-0.960953
2017-01-02 16:00:00,-0.92273676,-0.8658273
2017-01-02 17:00:00,-1.1449671,-1.0791684
2017-01-02 18:00:00,-1.1372902,-1.0717987
2017-01-02 19:00:00,-1.1075146,-1.0432141
2017-01-02 20:00:00,-1.2010473,-1.1330054
2017-01-02 21:00:00,-1.2328483,-1.1635344
2017-01-02 22:00:00,-1.0565125,-0.99425197
2017-01-02 23:00:00,-1.2434409,-1.1737032
2017-01-03 00:00:00,-1.1648091,-1.0982168
2017-01-03 01:00:00,-1.2185754,-1.1498324
2017-01-03 02:00:00,-1.2160887,-1.1474451
2017-01-03 03:00:00,-1.2219228,-1.1530459
2017-01-03 04:00:00,-1.1512836,-1.0852323
2017-01-03 05:00:00,-1.1633178,-1.0967851
2017-01-03 06:00:00,-1.0984054,-1.0344691
2017-01-03 07:00:00,-1.1271733,-1.0620863
2017-01-03 08:00:00,-0.94125783,-0.8836075
2017-01-03 09:00:00,-1.017578,-0.9568749
2017-01-03 10:00:00,-0.9202975,-0.8634856
2017-01-03 11:00:00,-0.89480144,-0.8390094
2017-01-03 12:00:00,-0.9017044,-0.8456362
2017-01-03 13:00:00,-0.84086454,-0.78722996
2017-01-03 14:00:00,-0.897176,-0.841289
2017-01-03 15:00:00,-0.8092009,-0.75683284
2017-01-03 16:00:00,-0.9476427,-0.88973695
2017-01-03 17:00:00,-0.8130953,-0.7605715
2017-01-03 18:00:00,-0.89197505,-0.836296
2017-01-03 19:00:00,-0.82726204,-0.7741716
2017-01-03 20:00:00,-0.8787884,-0.8236369
2017-01-03 21:00:00,-0.8727063,-0.817798
2017-01-03 22:00:00,-1.0116518,-0.9511857
2017-01-03 23:00:00,-1.0455421,-0.9837204
2017-01-04 00:00:00,-1.028101,-0.96697694
2017-01-04 01:00:00,-1.1262171,-1.0611684
2017-01-04 02:00:00,-1.0700927,-1.0072889
2017-01-04 03:00:00,-1.2613727,-1.1909177
2017-01-04 04:00:00,-1.1813517,-1.1140976
2017-01-04 05:00:00,-1.0929369,-1.0292194
2017-01-04 06:00:00,-1.0453308,-0.9835175
2017-01-04 07:00:00,-1.1547573,-1.088567
2017-01-04 08:00:00,-1.1024829,-1.0383836
2017-01-04 09:00:00,-1.0391955,-0.9776277
2017-01-04 10:00:00,-1.0328546,-0.9715404
2017-01-04 11:00:00,-1.0467483,-0.9848783
2017-01-04 12:00:00,-0.8942911,-0.83851945
2017-01-04 13:00:00,-0.9317636,-0.87449306
2017-01-04 14:00:00,-0.8795033,-0.8243232
2017-01-04 15:00:00,-1.0210284,-0.96018726
2017-01-04 16:00:00,-1.0251808,-0.96417356
2017-01-04 17:00:00,-0.98841816,-0.9288814
2017-01-04 18:00:00,-1.0972927,-1.0334009
2017-01-04 19:00:00,-0.8884212,-0.8328843
2017-01-04 20:00:00,-1.021119,-0.9602742
2017-01-04 21:00:00,-1.102218,-1.0381293
2017-01-04 22:00:00,-1.1014622,-1.0374037
2017-01-04 23:00:00,-1.1996913,-1.1317036
2017-01-05 00:00:00,-1.2538226,-1.1836697
2017-01-05 01:00:00,-1.3600061,-1.2856058
2017-01-05 02:00:00,-1.2661695,-1.1955228
2017-01-05 03:00:00,-1.2157468,-1.1471169
2017-01-05 04:00:00,-1.1488273,-1.0828742
2017-01-05 05:00:00,-1.1117197,-1.047251
2017-01-05 06:00:00,-1.1745805,-1.1075972
2017-01-05 07:00:00,-1.0493739,-0.98739886
2017-01-05 08:00:00,-1.1270698,-1.061987
2017-01-05 09:00:00,-0.99287593,-0.9331609
2017-01-05 10:00:00,-1.0297002,-0.9685122
2017-01-05 11:00:00,-0.86455226,-0.80997014
2017-01-05 12:00:00,-0.84755313,-0.793651
2017-01-05 13:00:00,-0.831726,-0.778457
