Formatted Date,pred_Temperature (C)_normalized,pred_Temperature (C)
2016-12-31 23:00:00,-1.3449996,-0.9140806
2017-01-01 00:00:00,-1.3649526,-1.104661
2017-01-01 01:00:00,-1.3878609,-1.3234701
2017-01-01 02:00:00,-1.4076487,-1.5124731
2017-01-01 03:00:00,-1.4474009,-1.8921671
2017-01-01 04:00:00,-1.4397293,-1.8188915
2017-01-01 05:00:00,-1.4521618,-1.9376402
2017-01-01 06:00:00,-1.4115748,-1.5499735
2017-01-01 07:00:00,-1.3452921,-0.9168749
2017-01-01 08:00:00,-1.2810651,-0.30341053
2017-01-01 09:00:00,-1.1626908,0.8272419
2017-01-01 10:00:00,-1.107377,1.3555698
2017-01-01 11:00:00,-1.0538139,1.867178
2017-01-01 12:00:00,-0.9777855,2.5933628
2017-01-01 13:00:00,-0.9934056,2.444168
2017-01-01 14:00:00,-1.0292795,2.1015186
2017-01-01 15:00:00,-1.0277063,2.1165457
2017-01-01 16:00:00,-1.1113319,1.3177948
2017-01-01 17:00:00,-1.1692364,0.7647209
2017-01-01 18:00:00,-1.2310542,0.17426872
2017-01-01 19:00:00,-1.272237,-0.21908855
2017-01-01 20:00:00,-1.2786306,-0.28015804
2017-01-01 21:00:00,-1.3115039,-0.5941467
2017-01-01 22:00:00,-1.3182786,-0.6588545
