iter,HIDDEN_WIDTH,DEPTH_PER_BLOCK,NUM_BLOCKS,LR,WEIGHT_DECAY,best_val
1,256,2,4,0.001,1e-06,0.06701164183401244
2,256,2,4,0.001,1e-05,0.06779815720909399
3,256,2,8,0.001,1e-06,0.06966959585591392
4,256,2,8,0.001,1e-05,0.06831973341766548
5,256,2,4,0.0005,1e-06,0.06686214759105133
6,256,2,4,0.0005,1e-05,0.06782084759821237
7,256,2,8,0.0005,1e-06,0.06802198235171193
8,256,2,8,0.0005,1e-05,0.06888262619760549
9,512,2,4,0.001,1e-06,0.06691218670180364
10,512,2,4,0.001,1e-05,0.07042059336423709
11,512,2,8,0.001,1e-06,0.0715738097718324
12,512,2,8,0.001,1e-05,0.06831672787924216
13,512,2,4,0.0005,1e-06,0.06810070453227783
14,512,2,4,0.0005,1e-05,0.06755913076525784
15,512,2,8,0.0005,1e-06,0.0688380748807208
16,512,2,8,0.0005,1e-05,0.06763379119514552
17,256,4,4,0.001,1e-06,0.06741973120950011
18,256,4,4,0.001,1e-05,0.0686585553611963
19,256,4,8,0.001,1e-06,0.06618717227294892
20,256,4,8,0.001,1e-05,0.0668348678346116
21,256,4,4,0.0005,1e-06,0.06831528232889053
22,256,4,4,0.0005,1e-05,0.06498529651238044
23,256,4,8,0.0005,1e-06,0.06610953643809722
24,256,4,8,0.0005,1e-05,0.06487621801375683
25,512,4,4,0.001,1e-06,0.0671121537200552
26,512,4,4,0.001,1e-05,0.06702560682008324
27,512,4,8,0.001,1e-06,0.0683902544241209
28,512,4,8,0.001,1e-05,0.0661829270259985
29,512,4,4,0.0005,1e-06,0.06771019211831329
30,512,4,4,0.0005,1e-05,0.06626494701251558
31,512,4,8,0.0005,1e-06,0.0667602934079956
32,512,4,8,0.0005,1e-05,0.06664082895991463
