Formatted Date,pred_Temperature (C)_normalized,pred_Temperature (C)
2016-12-31 23:00:00,-1.3282564,-0.754158
2017-01-01 00:00:00,-1.3592389,-1.050087
2017-01-01 01:00:00,-1.3402705,-0.8689108
2017-01-01 02:00:00,-1.3703977,-1.1566706
2017-01-01 03:00:00,-1.3939528,-1.3816576
2017-01-01 04:00:00,-1.4215101,-1.6448708
2017-01-01 05:00:00,-1.4788527,-2.1925783
2017-01-01 06:00:00,-1.4758213,-2.1636238
2017-01-01 07:00:00,-1.4460679,-1.8794346
2017-01-01 08:00:00,-1.3375561,-0.8429842
2017-01-01 09:00:00,-1.2339548,0.14656353
2017-01-01 10:00:00,-1.1069221,1.3599148
2017-01-01 11:00:00,-1.0236032,2.155736
2017-01-01 12:00:00,-0.98536175,2.520999
2017-01-01 13:00:00,-0.9492972,2.865469
2017-01-01 14:00:00,-0.944775,2.9086628
2017-01-01 15:00:00,-0.9819299,2.5537786
2017-01-01 16:00:00,-1.0513686,1.8905344
2017-01-01 17:00:00,-1.0609835,1.7986975
2017-01-01 18:00:00,-1.1399287,1.0446529
2017-01-01 19:00:00,-1.2200298,0.27956772
2017-01-01 20:00:00,-1.2266518,0.21631813
2017-01-01 21:00:00,-1.263944,-0.13987923
2017-01-01 22:00:00,-1.2788656,-0.28240204
