Formatted Date,pred_Temperature (C)_normalized,pred_Temperature (C)
2016-12-31 23:00:00,-1.4184666,-1.6157999
2017-01-01 00:00:00,-1.4008775,-1.4477978
2017-01-01 01:00:00,-1.4227052,-1.6562853
2017-01-01 02:00:00,-1.4582932,-1.9962044
2017-01-01 03:00:00,-1.4685458,-2.0941315
2017-01-01 04:00:00,-1.5044903,-2.4374552
2017-01-01 05:00:00,-1.4799206,-2.2027788
2017-01-01 06:00:00,-1.458818,-2.001217
2017-01-01 07:00:00,-1.3664773,-1.1192245
2017-01-01 08:00:00,-1.2493923,-0.0008878708
2017-01-01 09:00:00,-1.1207889,1.2274666
2017-01-01 10:00:00,-1.0165792,2.222826
2017-01-01 11:00:00,-0.9786295,2.5853014
2017-01-01 12:00:00,-0.9321295,3.0294466
2017-01-01 13:00:00,-0.92321926,3.1145525
2017-01-01 14:00:00,-0.91731215,3.1709747
2017-01-01 15:00:00,-0.9935521,2.442769
2017-01-01 16:00:00,-1.0775368,1.6405888
2017-01-01 17:00:00,-1.1159343,1.2738361
2017-01-01 18:00:00,-1.1724007,0.7344971
2017-01-01 19:00:00,-1.2213521,0.2669382
2017-01-01 20:00:00,-1.2605371,-0.10733795
2017-01-01 21:00:00,-1.2682555,-0.18105984
2017-01-01 22:00:00,-1.2753274,-0.24860764
