Formatted Date,pred_Temperature (C)_normalized,pred_Temperature (C)
2016-12-31 23:00:00,-1.3428518,-0.8935652
2017-01-01 00:00:00,-1.4217178,-1.6468544
2017-01-01 01:00:00,-1.3262635,-0.73512363
2017-01-01 02:00:00,-1.3308833,-0.77924824
2017-01-01 03:00:00,-1.5058684,-2.4506187
2017-01-01 04:00:00,-1.4582554,-1.9958429
2017-01-01 05:00:00,-1.4169246,-1.6010723
2017-01-01 06:00:00,-1.3791001,-1.2397919
2017-01-01 07:00:00,-1.3922429,-1.365325
2017-01-01 08:00:00,-1.2092459,0.38257027
2017-01-01 09:00:00,-1.25508,-0.05521393
2017-01-01 10:00:00,-1.2752466,-0.24783516
2017-01-01 11:00:00,-1.2309496,0.17526722
2017-01-01 12:00:00,-1.2132523,0.34430313
2017-01-01 13:00:00,-1.2132199,0.34461308
2017-01-01 14:00:00,-1.2362695,0.1244545
2017-01-01 15:00:00,-1.2547096,-0.051675797
2017-01-01 16:00:00,-1.2333852,0.15200329
2017-01-01 17:00:00,-1.3346273,-0.8150091
2017-01-01 18:00:00,-1.3067341,-0.5485878
2017-01-01 19:00:00,-1.340718,-0.87318516
2017-01-01 20:00:00,-1.3295313,-0.7663355
2017-01-01 21:00:00,-1.3311627,-0.7819176
2017-01-01 22:00:00,-1.3679507,-1.1332979
2017-01-01 23:00:00,-1.3722163,-1.1740417
2017-01-02 00:00:00,-1.3843453,-1.2898912
2017-01-02 01:00:00,-1.42339,-1.6628265
2017-01-02 02:00:00,-1.4803618,-2.2069921
2017-01-02 03:00:00,-1.4232304,-1.6613016
2017-01-02 04:00:00,-1.5394698,-2.7715626
2017-01-02 05:00:00,-1.5035778,-2.4287405
2017-01-02 06:00:00,-1.4206687,-1.6368341
2017-01-02 07:00:00,-1.3931283,-1.3737812
2017-01-02 08:00:00,-1.3729,-1.1805716
2017-01-02 09:00:00,-1.274313,-0.23891735
2017-01-02 10:00:00,-1.2808976,-0.30181122
2017-01-02 11:00:00,-1.2613769,-0.11535835
2017-01-02 12:00:00,-1.1916815,0.55033684
2017-01-02 13:00:00,-1.2901618,-0.3902979
2017-01-02 14:00:00,-1.2889512,-0.3787346
2017-01-02 15:00:00,-1.3016597,-0.50012016
2017-01-02 16:00:00,-1.2983629,-0.46862984
2017-01-02 17:00:00,-1.3922515,-1.365407
2017-01-02 18:00:00,-1.3426034,-0.89119434
2017-01-02 19:00:00,-1.363775,-1.0934143
2017-01-02 20:00:00,-1.3434677,-0.89944935
2017-01-02 21:00:00,-1.4397273,-1.8188725
2017-01-02 22:00:00,-1.4539639,-1.954853
2017-01-02 23:00:00,-1.4616745,-2.0285006
2017-01-03 00:00:00,-1.5065222,-2.4568634
2017-01-03 01:00:00,-1.5274631,-2.6568804
