feature,delta_mse,delta_mse_%
doy_cos,0.070866869594734,102.97591646888809
Temperature (C)_normalized,0.064171185012202,93.24648633861926
Apparent Temperature (C)_normalized,0.038440021627523885,55.85679851269024
h_sin,0.012588535779499796,18.29227135766848
h_cos,0.011133466318652432,16.17792494849984
Humidity_normalized,0.006577637902385483,9.557897718244515
wind_bearing_cos,0.00594065598472282,8.632305870875873
Precip Type_normalized,0.005622696987277756,8.170282934789144
Pressure (millibars)_normalized,0.004033795213914129,5.861466174195007
doy_sin,0.0029397801336672885,4.271764157392871
Visibility (km)_normalized,0.0017303334263799458,2.5143296352329165
Summary_Foggy,0.0014690211093103533,2.1346194054918035
Summary_Clear,0.0013581494725233845,1.9735129748869982
Summary_Overcast,0.00124140003243009,1.8038655689893077
wind_bearing_sin,0.0005824026391581388,0.8462832613346449
Summary_Partly Cloudy,0.0001416313923425505,0.20580311379130758
trend_normalized,-0.00011226252929584513,-0.16312752214772697
Summary_Mostly Cloudy,-0.0003060199286755161,-0.44467439853511875
dow_cos,-0.0005744223289930045,-0.834687155034759
Wind Speed (km/h)_normalized,-0.0006707050577477308,-0.9745945940163738
dow_sin,-0.0013431251586020487,-1.9516812994621706
