h,mae_z,rmse_z,mae_C,rmse_C
0,0.16142353,0.20579553,1.5924731,2.0302112
1,0.16573492,0.21114114,1.6350057,2.0829465
2,0.17357403,0.2204637,1.71234,2.1749153
3,0.18123947,0.23017207,1.787961,2.2706902
4,0.19098859,0.24169227,1.8841379,2.384339
5,0.19650453,0.24865954,1.9385537,2.4530725
6,0.20318207,0.25696468,2.0044289,2.5350044
7,0.21004032,0.26562217,2.0720868,2.620412
8,0.21547349,0.27178875,2.125686,2.6812465
9,0.21984392,0.27729332,2.168801,2.7355502
10,0.22522548,0.2839906,2.2218912,2.80162
11,0.23000659,0.2894518,2.2690578,2.855496
12,0.23385063,0.29383394,2.30698,2.8987265
13,0.23971836,0.3002821,2.3648663,2.9623387
14,0.24366328,0.30445015,2.4037836,3.0034573
15,0.24817468,0.3099658,2.4482894,3.0578701
16,0.2535253,0.3165409,2.501074,3.1227348
17,0.2588794,0.322082,2.5538933,3.177399
18,0.26112586,0.3246471,2.576055,3.202704
19,0.26475626,0.32899734,2.6118698,3.24562
20,0.26970038,0.3338902,2.6606443,3.2938888
21,0.2754,0.34003678,2.7168722,3.354526
22,0.27906638,0.34490815,2.7530417,3.402583
23,0.28037927,0.34750608,2.7659936,3.428212
