h,mae_z,rmse_z,mae_C,rmse_C
0,0.28368294,0.35239577,2.798585,3.4764497
1,0.28338233,0.35196155,2.7956192,3.472166
2,0.28497446,0.35348687,2.811326,3.4872136
3,0.28621435,0.3547399,2.8235579,3.4995751
4,0.28701395,0.35613215,2.831446,3.5133097
5,0.28775844,0.35712898,2.8387904,3.5231438
6,0.28887865,0.35914293,2.8498416,3.5430117
7,0.29305774,0.3644626,2.891069,3.5954914
8,0.29191872,0.363801,2.8798325,3.5889645
9,0.2921028,0.36469632,2.8816485,3.597797
10,0.29495895,0.3679967,2.9098248,3.6303558
11,0.29479435,0.36844796,2.908201,3.6348076
12,0.2948271,0.36881366,2.908524,3.6384153
13,0.2974908,0.37220973,2.934802,3.6719182
14,0.29844928,0.3730701,2.9442575,3.6804059
15,0.29879338,0.37388682,2.947652,3.688463
16,0.2995197,0.37487513,2.9548173,3.6982129
17,0.29871583,0.3741913,2.9468873,3.6914668
18,0.2997193,0.37552923,2.9567866,3.7046657
19,0.30225775,0.3787076,2.981829,3.7360208
20,0.30234239,0.3788882,2.9826639,3.7378023
21,0.30414438,0.38117164,3.0004408,3.760329
22,0.30818117,0.38522187,3.0402644,3.8002853
23,0.30932647,0.38599938,3.051563,3.8079555
24,0.3102908,0.38691345,3.0610764,3.816973
25,0.31130862,0.38807806,3.0711174,3.8284621
26,0.3125138,0.38924176,3.0830066,3.8399422
27,0.31314084,0.39045995,3.0891926,3.85196
28,0.31409028,0.39239037,3.098559,3.8710039
29,0.31435257,0.39294645,3.1011465,3.8764896
30,0.3156009,0.3942585,3.1134615,3.8894334
31,0.31911626,0.39774808,3.1481411,3.9238586
32,0.31895062,0.39778394,3.146507,3.9242125
33,0.31943923,0.39871636,3.1513274,3.933411
34,0.32278866,0.4025649,3.18437,3.9713776
35,0.32061127,0.40082124,3.1628897,3.954176
36,0.3191055,0.39968663,3.148035,3.942983
37,0.32047942,0.40142372,3.1615891,3.9601195
38,0.32025713,0.40120214,3.159396,3.9579337
39,0.31953856,0.40108618,3.1523073,3.9567897
40,0.32019967,0.40204275,3.1588292,3.9662263
41,0.31882867,0.40035763,3.145304,3.9496024
42,0.31887072,0.40045762,3.1457188,3.9505887
43,0.31969967,0.4016241,3.1538966,3.9620965
44,0.31953323,0.40213987,3.1522546,3.9671845
45,0.32109898,0.40451768,3.167701,3.990642
46,0.32398665,0.40833142,3.1961884,4.0282655
47,0.32334143,0.40726015,3.1898232,4.017697
48,0.32379624,0.40776134,3.1943102,4.022641
49,0.3249871,0.409071,3.2060583,4.0355616
50,0.32630053,0.41015264,3.2190154,4.046232
51,0.3266692,0.4107612,3.2226522,4.0522356
52,0.3266653,0.4111276,3.222614,4.05585
53,0.32635987,0.4107122,3.2196007,4.051752
54,0.3282349,0.41245598,3.2380984,4.068955
55,0.3313482,0.41610232,3.2688117,4.1049266
56,0.33039796,0.4153946,3.2594373,4.0979447
57,0.3301437,0.4156639,3.256929,4.1006017
58,0.33146638,0.4174492,3.2699773,4.118214
59,0.33008084,0.4164281,3.2563088,4.1081405
60,0.32853577,0.4150729,3.2410665,4.094771
61,0.32963392,0.4163752,3.2519,4.107619
62,0.3285538,0.41498587,3.2412443,4.0939126
63,0.32817286,0.41443357,3.2374861,4.0884643
64,0.32763457,0.41381785,3.2321758,4.08239
65,0.32555592,0.4117047,3.2116697,4.0615435
66,0.32589674,0.41261676,3.2150319,4.070541
67,0.3269659,0.4142812,3.2255793,4.086961
68,0.32642204,0.4137694,3.2202141,4.081912
69,0.32676888,0.41453114,3.2236357,4.0894265
70,0.32802913,0.41613847,3.2360682,4.1052833
71,0.32769927,0.41529924,3.2328143,4.097004
72,0.32805642,0.41561612,3.2363377,4.10013
73,0.32820386,0.415752,3.237792,4.1014705
74,0.32771614,0.41490597,3.2329807,4.0931244
75,0.32663924,0.4139698,3.2223568,4.083889
76,0.32683665,0.41456142,3.2243042,4.0897255
77,0.32629958,0.41393682,3.219006,4.083564
78,0.32703185,0.41484195,3.22623,4.092493
79,0.32948226,0.41754845,3.2504036,4.119193
80,0.32859772,0.41730484,3.2416775,4.11679
81,0.32833505,0.4176354,3.2390862,4.120051
82,0.32907295,0.41843134,3.2463658,4.127903
83,0.32758194,0.41711888,3.2316568,4.1149554
84,0.32666007,0.4161452,3.2225623,4.1053495
85,0.32754284,0.41720524,3.231271,4.115807
86,0.32745576,0.4168456,3.2304118,4.1122594
87,0.32838476,0.41727173,3.2395766,4.116463
88,0.32877836,0.41712475,3.2434595,4.115013
89,0.32649165,0.41502947,3.2209008,4.0943427
90,0.3262955,0.41491562,3.2189658,4.0932198
91,0.3272436,0.41657764,3.228319,4.109616
92,0.3262913,0.41543382,3.2189243,4.098332
93,0.32616106,0.41486216,3.2176394,4.0926924
94,0.3270625,0.41566396,3.2265322,4.100602
95,0.3268836,0.41517088,3.2247677,4.095738
96,0.32723755,0.41542754,3.228259,4.09827
97,0.32809567,0.4165555,3.2367249,4.1093974
98,0.3278783,0.41628313,3.2345803,4.1067104
99,0.3282449,0.4167803,3.2381968,4.111615
100,0.3282857,0.41727203,3.2385993,4.116466
101,0.3264115,0.41559508,3.22011,4.0999227
102,0.32694104,0.41646928,3.2253342,4.1085467
103,0.32870337,0.41880044,3.24272,4.131544
104,0.32935026,0.41978818,3.2491014,4.1412883
105,0.32989374,0.42030644,3.254463,4.146401
106,0.33076608,0.42052117,3.263069,4.1485195
107,0.33006153,0.41985145,3.2561183,4.1419125
108,0.32839343,0.41821057,3.2396622,4.125725
109,0.32920188,0.41917434,3.2476377,4.135233
110,0.32953712,0.4189113,3.2509449,4.132638
111,0.329219,0.4183104,3.2478068,4.12671
112,0.3283505,0.41747707,3.2392387,4.118489
113,0.3269534,0.41642517,3.2254562,4.108112
114,0.3269426,0.4168359,3.2253494,4.1121635
115,0.32924178,0.41965145,3.2480314,4.1399393
116,0.32907757,0.4196413,3.2464113,4.139839
117,0.3306329,0.42162013,3.261755,4.159361
118,0.3330716,0.4243193,3.285813,4.185989
119,0.33391455,0.4252378,3.2941291,4.19505
