h,mae_z,rmse_z,mae_C,rmse_C
0,0.16967909,0.21841423,1.6739157,2.154697
1,0.16762799,0.21873699,1.6536813,2.157881
2,0.18133768,0.23642467,1.7889299,2.3323734
3,0.18951872,0.24728502,1.8696374,2.4395127
4,0.19721885,0.25884238,1.9456006,2.553528
5,0.20582657,0.26979986,2.0305173,2.6616256
6,0.21302104,0.2784143,2.1014922,2.746609
7,0.2162888,0.2817214,2.1337292,2.7792342
8,0.21581408,0.28223878,2.129046,2.784338
9,0.2180258,0.2838617,2.150865,2.8003483
10,0.2218263,0.28829864,2.1883576,2.8441195
11,0.2232295,0.28998482,2.2022004,2.8607543
12,0.2203758,0.28759205,2.1740482,2.837149
13,0.22486371,0.2927812,2.2183223,2.888341
14,0.22414507,0.2927071,2.2112327,2.8876097
15,0.22987008,0.2980267,2.2677112,2.9400887
16,0.23163366,0.29971242,2.285109,2.9567187
17,0.23153564,0.29898575,2.284142,2.94955
18,0.23216413,0.30002955,2.2903423,2.9598472
19,0.23260194,0.30010945,2.2946613,2.9606354
20,0.23761973,0.30629084,2.3441627,3.021616
21,0.24309513,0.31304,2.3981786,3.0881977
22,0.24512887,0.31613243,2.4182417,3.118705
23,0.2563311,0.32793167,2.5287538,3.235107
24,0.26406297,0.33744305,2.6050303,3.3289385
25,0.2685641,0.34191588,2.6494348,3.3730636
26,0.278198,0.35238197,2.744475,3.4763136
27,0.28771812,0.3626107,2.8383927,3.5772219
28,0.28961217,0.36532173,2.8570778,3.6039667
29,0.29439458,0.37120885,2.9042573,3.6620443
30,0.30215698,0.37967438,2.9808347,3.7455583
31,0.30969808,0.38896537,3.055229,3.8372157
32,0.30710554,0.38561854,3.0296533,3.8041985
33,0.30623573,0.38527176,3.0210724,3.8007774
34,0.30830222,0.38731915,3.0414586,3.8209753
35,0.30037397,0.37936905,2.963245,3.742546
36,0.30807045,0.38696843,3.0391722,3.8175154
37,0.30229503,0.38071933,2.9821966,3.755867
38,0.30488256,0.38331613,3.007723,3.7814848
39,0.30768973,0.38615716,3.0354164,3.8095121
40,0.3060985,0.38427457,3.0197184,3.79094
41,0.30269352,0.38024583,2.9861279,3.7511957
42,0.30691165,0.38498247,3.0277405,3.7979236
43,0.30920053,0.38655913,3.0503206,3.8134775
44,0.3132581,0.39159346,3.0903494,3.8631423
45,0.31582904,0.39443737,3.1157122,3.891198
46,0.31726295,0.39721388,3.129858,3.9185886
47,0.32529378,0.4070482,3.2090836,4.015606
48,0.32872438,0.4098642,3.242927,4.0433865
49,0.33466038,0.41723907,3.3014867,4.116141
50,0.33958504,0.4230202,3.3500695,4.173173
51,0.3380183,0.42101014,3.3346133,4.153343
52,0.33924937,0.42243254,3.3467581,4.1673756
53,0.3453599,0.42939526,3.4070394,4.236064
54,0.355774,0.44146156,3.5097764,4.3551
55,0.36108142,0.44798374,3.5621352,4.4194427
56,0.36185375,0.44834656,3.5697544,4.4230223
57,0.3608821,0.44780657,3.560169,4.417695
58,0.3554284,0.44178358,3.5063672,4.358277
59,0.35896108,0.44676596,3.5412176,4.407429
60,0.35600525,0.44363648,3.512058,4.3765564
61,0.36644652,0.45434615,3.615063,4.482209
62,0.3625663,0.44968507,3.576784,4.436227
63,0.35853758,0.4449813,3.5370398,4.3898234
64,0.3538756,0.44039446,3.4910486,4.344573
65,0.35726395,0.44453412,3.5244753,4.3854117
66,0.36111927,0.44851387,3.5625086,4.4246726
67,0.35739523,0.44339642,3.5257704,4.374188
68,0.3604992,0.44749776,3.5563917,4.4146485
69,0.36081916,0.44776222,3.5595481,4.4172573
70,0.36348486,0.451354,3.5858457,4.452691
71,0.36791015,0.45615336,3.6295018,4.5000377
72,0.36399755,0.45158693,3.5909035,4.454989
73,0.36910158,0.4566,3.6412556,4.504444
74,0.3822549,0.4716624,3.7710156,4.653037
75,0.3743555,0.46312118,3.6930864,4.5687766
76,0.3866857,0.47606382,3.8147264,4.696458
77,0.39828283,0.48885635,3.9291341,4.8226585
78,0.4017906,0.4922678,3.9637387,4.856313
79,0.3990328,0.48790693,3.9365327,4.8132925
80,0.4120636,0.50410986,4.065084,4.9731374
81,0.40138486,0.49326894,3.959736,4.8661895
82,0.3957503,0.4863276,3.9041502,4.797712
83,0.40012974,0.49272442,3.947354,4.860818
84,0.40217102,0.49359494,3.9674919,4.8694057
85,0.4010478,0.49113023,3.956411,4.845091
86,0.40213653,0.49420705,3.9671516,4.8754444
87,0.40126386,0.4921925,3.9585426,4.8555703
88,0.4019221,0.4931429,3.9650362,4.8649464
89,0.39742312,0.4893165,3.9206529,4.827198
90,0.3945941,0.48788476,3.892744,4.8130736
91,0.38865882,0.48139405,3.8341916,4.7490416
92,0.39163172,0.48426107,3.8635197,4.777325
93,0.38808364,0.47861442,3.8285172,4.72162
94,0.3936117,0.48515415,3.8830526,4.7861357
95,0.3992913,0.4925474,3.9390829,4.8590717
96,0.40154263,0.49520135,3.9612927,4.8852534
97,0.4064998,0.4990367,4.010196,4.9230895
98,0.41545656,0.50875795,4.098556,5.0189915
