h,mae_z,rmse_z,mae_C,rmse_C
0,0.08295103,0.11231249,0.8183273,1.1079836
1,0.104364365,0.14007403,1.0295738,1.3818563
2,0.1217959,0.1622951,1.2015392,1.6010714
3,0.13704982,0.18302627,1.3520219,1.8055881
4,0.14945541,0.2000749,1.4744054,1.973776
5,0.15737687,0.21244273,1.5525521,2.095787
6,0.16403596,0.22322434,1.6182452,2.2021496
7,0.16945311,0.23145853,1.6716864,2.2833815
8,0.17743585,0.24195406,1.7504376,2.3869216
9,0.18064591,0.24788854,1.7821054,2.4454665
10,0.18561105,0.25440466,1.8310875,2.5097492
11,0.18849607,0.25861746,1.8595487,2.5513093
12,0.19113101,0.2624514,1.8855429,2.5891318
13,0.19567688,0.26909637,1.9303887,2.6546857
14,0.19896935,0.27357933,1.9628696,2.698911
15,0.19994643,0.2728369,1.9725087,2.6915867
16,0.20039216,0.2730735,1.9769058,2.6939209
17,0.20027581,0.27335685,1.9757581,2.696716
18,0.20039965,0.27518618,1.9769797,2.7147627
19,0.2008081,0.2770245,1.9810091,2.7328982
20,0.20205028,0.27982515,1.9932636,2.7605271
21,0.20470496,0.28156763,2.0194523,2.777717
22,0.20731235,0.28401932,2.0451748,2.8019032
23,0.21274091,0.28911102,2.0987287,2.852134
