h,mae_z,rmse_z,mae_C,rmse_C
0,0.16653538,0.21378076,1.6429024,2.1089869
1,0.16278347,0.21261849,1.6058892,2.0975208
2,0.17357284,0.22763495,1.7123283,2.245661
3,0.18493362,0.24216329,1.8244045,2.3889859
4,0.19516982,0.2581576,1.9253865,2.5467727
5,0.19952078,0.26455095,1.9683095,2.6098442
6,0.20525753,0.27118072,2.0249038,2.6752481
7,0.21143845,0.27817336,2.0858796,2.744232
8,0.21132824,0.2792073,2.0847924,2.7544317
9,0.21770689,0.2858382,2.147719,2.8198469
10,0.21491663,0.28313965,2.1201925,2.7932253
11,0.21573964,0.28356323,2.1283116,2.7974038
12,0.2143329,0.28308272,2.1144338,2.7926636
13,0.22081289,0.29009232,2.1783602,2.8618145
14,0.21523616,0.28747892,2.1233447,2.8360329
15,0.21888667,0.2905876,2.1593578,2.8667006
16,0.22043772,0.29107952,2.174659,2.8715537
17,0.22073637,0.29182038,2.1776054,2.8788621
18,0.22447547,0.29465708,2.2144923,2.9068468
19,0.22677177,0.2970176,2.2371457,2.9301338
20,0.23047522,0.30018777,2.273681,2.9614081
21,0.23568417,0.30560684,2.3250682,3.0148683
22,0.24106446,0.31211326,2.3781457,3.0790553
23,0.2515905,0.3240471,2.481987,3.1967847
24,0.2606828,0.33417395,2.5716841,3.296688
25,0.26627073,0.33990896,2.62681,3.353265
26,0.27234042,0.34681335,2.686689,3.4213781
27,0.2721637,0.3466508,2.6849453,3.4197745
28,0.28499815,0.36227039,2.8115597,3.5738647
29,0.2948598,0.3730773,2.9088466,3.680477
30,0.29739606,0.3758355,2.9338675,3.7076871
31,0.30187422,0.38152307,2.9780452,3.763796
32,0.30551004,0.38513398,3.0139134,3.7994182
33,0.3029225,0.3813824,2.9883866,3.7624083
34,0.30623752,0.3851177,3.02109,3.7992578
35,0.29759294,0.3763403,2.9358096,3.712667
36,0.30235004,0.381825,2.9827394,3.7667747
37,0.3014613,0.3797762,2.9739718,3.746563
38,0.3021061,0.37976336,2.9803329,3.746436
39,0.29776034,0.37477648,2.9374611,3.6972396
40,0.29986754,0.37661797,2.958249,3.7154062
41,0.30106735,0.37850997,2.9700854,3.7340713
42,0.3026347,0.3807235,2.9855473,3.755908
43,0.30365956,0.38126013,2.995658,3.7612019
44,0.30612415,0.38442028,3.0199716,3.7923775
45,0.31228974,0.3906921,3.0807962,3.8542502
46,0.31357124,0.3931258,3.0934386,3.878259
47,0.31965193,0.40145773,3.1534257,3.960455
48,0.3269169,0.4101111,3.225096,4.045822
49,0.33302495,0.415427,3.285353,4.0982647
50,0.33392808,0.41662416,3.2942624,4.1100745
51,0.33643633,0.41986713,3.319007,4.1420674
52,0.338322,0.42174816,3.3376095,4.160624
53,0.3420641,0.42650595,3.374526,4.2075605
54,0.35136884,0.43772304,3.4663188,4.318219
55,0.3574369,0.44486377,3.5261815,4.388664
56,0.35234842,0.43803594,3.4759827,4.3213058
57,0.362698,0.44916025,3.578083,4.4310493
58,0.3561119,0.4411711,3.5131102,4.352235
59,0.35676783,0.4432601,3.5195808,4.3728433
60,0.35888246,0.44440767,3.540442,4.3841643
61,0.3625167,0.44794476,3.5762947,4.4190583
62,0.36065012,0.44616294,3.5578804,4.40148
63,0.35566685,0.43975055,3.5087194,4.338221
64,0.3543296,0.43844706,3.4955273,4.3253617
65,0.35511836,0.44057852,3.5033085,4.346389
66,0.3554311,0.44098163,3.506394,4.3503656
67,0.35309616,0.43902904,3.483359,4.331103
68,0.35635227,0.44175485,3.5154812,4.3579936
69,0.35701427,0.4428414,3.522012,4.368713
70,0.35912114,0.44601804,3.5427969,4.4000506
71,0.3696452,0.45923242,3.6466186,4.530413
72,0.36182147,0.450204,3.569436,4.441346
73,0.36923495,0.4573178,3.6425714,4.511525
74,0.37640184,0.46569985,3.713274,4.5942154
75,0.37826842,0.4673575,3.7316883,4.6105685
76,0.38428307,0.4747296,3.7910237,4.6832957
77,0.40444106,0.49761295,3.989886,4.9090443
78,0.39385036,0.48424327,3.885407,4.7771497
79,0.4012487,0.49113238,3.9583929,4.8451123
80,0.417919,0.5110241,4.1228485,5.041348
81,0.41395253,0.50694996,4.083719,5.0011554
82,0.4089338,0.49993515,4.034208,4.931953
83,0.40379652,0.4943342,3.9835277,4.8766985
84,0.40522295,0.4953811,3.9975996,4.8870263
85,0.4136438,0.5031436,4.080673,4.963605
86,0.4109757,0.50126153,4.0543513,4.9450383
87,0.40655214,0.49612093,4.010712,4.8943253
88,0.40524417,0.49494785,3.997809,4.8827524
89,0.3972687,0.48826537,3.9191296,4.8168287
90,0.39057317,0.48228505,3.853077,4.7578316
91,0.39083228,0.4840436,3.855633,4.77518
92,0.39447471,0.4875024,3.8915663,4.809302
93,0.39290354,0.4848766,3.8760664,4.7833977
94,0.40133286,0.49446747,3.9592233,4.8780136
95,0.40730315,0.50318396,4.0181212,4.964003
96,0.4030334,0.49741572,3.9759994,4.9070983
97,0.41336045,0.50710905,4.0778775,5.002725
98,0.41255578,0.5063798,4.0699396,4.9955306
99,0.41115707,0.50429195,4.056141,4.9749336
100,0.41186687,0.5042334,4.0631433,4.974356
101,0.4164379,0.5078665,4.1082373,5.010197
102,0.41047776,0.5019211,4.0494394,4.9515452
103,0.42082682,0.51204187,4.1515346,5.0513883
