Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type,dew_point_approx,humid_x_precip_raw,Temperature_normalized,Humidity_normalized,Wind_Speed_normalized,Precipitation_pct_normalized,Atmospheric_Pressure_normalized,UV_Index_normalized,Visibility_km_normalized,dew_point_approx_normalized,humid_x_precip_raw_normalized,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Location_coastal,Location_inland,Location_mountain,label_str,label_idx,split
14.0,73,9.5,82.0,partly cloudy,1010.82,2,Winter,3.5,inland,Rainy,8.6,5986.0,0.291044776119403,0.6625,0.1958762886597938,0.82,0.5279510887268537,0.14285714285714285,0.175,0.3089887640449438,0.5986,0,0,0,1,0,1,0,partly cloudy,3,test
39.0,96,8.5,71.0,partly cloudy,1011.43,7,Spring,10.0,inland,Cloudy,38.2,6816.0,0.47761194029850745,0.95,0.17525773195876287,0.71,0.5294795660126786,0.5,0.5,0.5168539325842696,0.6816,0,1,0,0,0,1,0,partly cloudy,3,test
30.0,64,7.0,16.0,clear,1018.72,5,Spring,5.5,mountain,Sunny,22.8,1024.0,0.41044776119402987,0.55,0.14432989690721648,0.16,0.5477461224285249,0.35714285714285715,0.275,0.40870786516853935,0.1024,0,1,0,0,0,0,1,clear,0,train
38.0,83,1.5,82.0,clear,1026.25,7,Spring,1.0,coastal,Sunny,34.6,6806.0,0.4701492537313433,0.7875,0.030927835051546393,0.82,0.5666140469568267,0.5,0.05,0.49157303370786515,0.6806,0,1,0,0,1,0,0,clear,0,train
27.0,74,17.0,66.0,overcast,990.67,1,Winter,2.5,mountain,Rainy,21.8,4884.0,0.3880597014925373,0.675,0.35051546391752575,0.66,0.4774612242852488,0.07142857142857142,0.125,0.40168539325842695,0.4884,0,0,0,1,0,0,1,overcast,2,train
32.0,55,3.5,26.0,overcast,1010.03,2,Summer,5.0,inland,Cloudy,23.0,1430.0,0.4253731343283582,0.4375,0.07216494845360824,0.26,0.5259715853566863,0.14285714285714285,0.25,0.41011235955056174,0.143,0,0,1,0,0,1,0,overcast,2,train
-2.0,97,8.0,86.0,overcast,990.87,1,Winter,4.0,inland,Snowy,-2.6,8342.0,0.17164179104477612,0.9625,0.16494845360824742,0.86,0.4779623643789621,0.07142857142857142,0.2,0.23033707865168537,0.8342,0,0,0,1,0,1,0,overcast,2,train
3.0,85,6.0,96.0,partly cloudy,984.46,1,Winter,3.5,inland,Snowy,0.0,8160.0,0.208955223880597,0.8125,0.12371134020618557,0.96,0.4619008243754542,0.07142857142857142,0.175,0.2485955056179775,0.816,0,0,0,1,0,1,0,partly cloudy,3,train
3.0,83,6.0,66.0,overcast,999.44,0,Winter,1.0,mountain,Snowy,-0.3999999999999999,5478.0,0.208955223880597,0.7875,0.12371134020618557,0.66,0.4994362173945727,0.0,0.05,0.24578651685393257,0.5478,0,0,0,1,0,0,1,overcast,2,test
28.0,74,8.5,100.0,clear,1012.13,8,Winter,7.5,coastal,Sunny,22.8,7400.0,0.39552238805970147,0.675,0.17525773195876287,1.0,0.5312335563406749,0.5714285714285714,0.375,0.40870786516853935,0.74,0,0,0,1,1,0,0,clear,0,train
35.0,45,6.0,86.0,partly cloudy,879.88,2,Spring,1.0,mountain,Cloudy,24.0,3870.0,0.44776119402985076,0.3125,0.12371134020618557,0.86,0.19985466937282315,0.14285714285714285,0.05,0.41713483146067415,0.387,0,1,0,0,0,0,1,partly cloudy,3,train
38.0,43,2.0,16.0,clear,1029.16,11,Autumn,7.5,inland,Sunny,26.6,688.0,0.4701492537313433,0.2875,0.041237113402061855,0.16,0.573905635320354,0.7857142857142857,0.375,0.4353932584269663,0.0688,1,0,0,0,0,1,0,clear,0,train
12.0,59,10.5,25.0,partly cloudy,1016.08,3,Autumn,5.5,mountain,Cloudy,3.8000000000000007,1475.0,0.27611940298507465,0.4875,0.21649484536082475,0.25,0.5411310731915108,0.21428571428571427,0.275,0.2752808988764045,0.1475,1,0,0,0,0,0,1,partly cloudy,3,train
-10.0,87,15.0,67.0,overcast,986.19,0,Winter,1.5,inland,Snowy,-12.6,5829.0,0.11194029850746269,0.8375,0.30927835051546393,0.67,0.4662356861860734,0.0,0.075,0.16011235955056177,0.5829,0,0,0,1,0,1,0,overcast,2,train
24.0,21,3.5,8.0,clear,1018.88,8,Winter,5.5,coastal,Sunny,8.2,168.0,0.3656716417910448,0.0125,0.07216494845360824,0.08,0.5481470345034953,0.5714285714285714,0.275,0.30617977528089885,0.0168,0,0,0,1,1,0,0,clear,0,train
10.0,50,6.5,46.0,partly cloudy,1000.44,2,Summer,8.5,mountain,Cloudy,0.0,2300.0,0.26119402985074625,0.375,0.13402061855670103,0.46,0.5019419178631387,0.14285714285714285,0.425,0.2485955056179775,0.23,0,0,1,0,0,0,1,partly cloudy,3,train
30.0,27,7.0,13.0,partly cloudy,1016.38,5,Spring,7.5,inland,Sunny,15.4,351.0,0.41044776119402987,0.0875,0.14432989690721648,0.13,0.5418827833320804,0.35714285714285715,0.375,0.35674157303370785,0.0351,0,1,0,0,0,1,0,partly cloudy,3,test
33.0,51,0.5,27.0,overcast,1009.18,3,Autumn,5.5,coastal,Cloudy,23.2,1377.0,0.43283582089552236,0.3875,0.010309278350515464,0.27,0.5238417399584052,0.21428571428571427,0.275,0.4115168539325842,0.1377,1,0,0,0,1,0,0,overcast,2,test
43.0,46,0.5,15.0,clear,1025.8,9,Spring,6.0,mountain,Sunny,32.2,690.0,0.5074626865671642,0.325,0.010309278350515464,0.15,0.5654864817459719,0.6428571428571429,0.3,0.47471910112359544,0.069,0,1,0,0,0,0,1,clear,0,test
13.0,100,12.0,72.0,clear,1012.25,4,Summer,8.0,inland,Sunny,13.0,7200.0,0.2835820895522388,1.0,0.24742268041237114,0.72,0.5315342403969029,0.2857142857142857,0.4,0.3398876404494382,0.72,0,0,1,0,0,1,0,clear,0,train
-10.0,67,8.5,75.0,overcast,991.53,1,Winter,3.0,mountain,Snowy,-16.6,5025.0,0.11194029850746269,0.5875,0.17525773195876287,0.75,0.47961612668821557,0.07142857142857142,0.15,0.13202247191011232,0.5025,0,0,0,1,0,0,1,overcast,2,train
-7.0,88,12.5,98.0,overcast,980.31,1,Winter,3.0,inland,Snowy,-9.4,8624.0,0.13432835820895522,0.85,0.25773195876288657,0.98,0.4515021674309051,0.07142857142857142,0.15,0.18258426966292135,0.8624,0,0,0,1,0,1,0,overcast,2,train
33.0,36,7.5,18.0,clear,1014.29,8,Summer,9.5,mountain,Sunny,20.2,648.0,0.43283582089552236,0.2,0.15463917525773196,0.18,0.5366458693527775,0.5714285714285714,0.475,0.39044943820224715,0.0648,0,0,1,0,0,0,1,clear,0,train
26.0,73,13.5,29.0,overcast,1012.02,1,Summer,9.0,inland,Cloudy,20.6,2117.0,0.3805970149253731,0.6625,0.27835051546391754,0.29,0.5309579292891327,0.07142857142857142,0.45,0.3932584269662921,0.2117,0,0,1,0,0,1,0,overcast,2,train
38.0,83,7.0,100.0,partly cloudy,1017.94,4,Spring,8.5,mountain,Cloudy,34.6,8300.0,0.4701492537313433,0.7875,0.14432989690721648,1.0,0.5457916760630435,0.2857142857142857,0.425,0.49157303370786515,0.83,0,1,0,0,0,0,1,partly cloudy,3,train
4.0,79,1.0,85.0,partly cloudy,982.53,1,Winter,4.5,inland,Snowy,-0.20000000000000018,6715.0,0.21641791044776118,0.7375,0.020618556701030927,0.85,0.4570648224711217,0.07142857142857142,0.225,0.24719101123595502,0.6715,0,0,0,1,0,1,0,partly cloudy,3,train
17.0,72,7.5,62.0,overcast,1010.16,2,Summer,3.0,mountain,Rainy,11.4,4464.0,0.31343283582089554,0.65,0.15463917525773196,0.62,0.5262973264175999,0.14285714285714285,0.15,0.3286516853932584,0.4464,0,0,1,0,0,0,1,overcast,2,train
40.0,57,4.0,12.0,partly cloudy,1020.73,11,Winter,9.5,coastal,Sunny,31.4,684.0,0.48507462686567165,0.4625,0.08247422680412371,0.12,0.5527825803703426,0.7857142857142857,0.475,0.4691011235955056,0.0684,0,0,0,1,1,0,0,partly cloudy,3,train
24.0,61,6.5,3.0,partly cloudy,1018.15,7,Autumn,5.5,mountain,Sunny,16.2,183.0,0.3656716417910448,0.5125,0.13402061855670103,0.03,0.5463178731614422,0.5,0.275,0.3623595505617977,0.0183,1,0,0,0,0,0,1,partly cloudy,3,train
30.0,70,16.0,54.0,partly cloudy,1007.75,0,Winter,3.0,mountain,Rainy,24.0,3780.0,0.41044776119402987,0.625,0.32989690721649484,0.54,0.5202585882883559,0.0,0.15,0.41713483146067415,0.378,0,0,0,1,0,0,1,partly cloudy,3,train
28.0,85,7.0,97.0,overcast,991.07,1,Spring,2.0,coastal,Rainy,25.0,8245.0,0.39552238805970147,0.8125,0.14432989690721648,0.97,0.47846350447267544,0.07142857142857142,0.1,0.4241573033707865,0.8245,0,1,0,0,1,0,0,overcast,2,train
2.0,61,16.5,63.0,overcast,995.74,0,Winter,1.0,inland,Snowy,-5.8,3843.0,0.20149253731343283,0.5125,0.3402061855670103,0.63,0.4901651256608785,0.0,0.05,0.20786516853932582,0.3843,0,0,0,1,0,1,0,overcast,2,train
4.0,95,2.5,56.0,overcast,984.63,1,Winter,4.5,inland,Snowy,3.0,5320.0,0.21641791044776118,0.9375,0.05154639175257732,0.56,0.4623267934551103,0.07142857142857142,0.225,0.2696629213483146,0.532,0,0,0,1,0,1,0,overcast,2,val
15.0,97,23.0,91.0,overcast,1009.36,13,Winter,2.5,mountain,Rainy,14.4,8827.0,0.29850746268656714,0.9625,0.4742268041237113,0.91,0.5242927660427472,0.9285714285714286,0.125,0.3497191011235955,0.8827,0,0,0,1,0,0,1,overcast,2,train
29.0,69,3.0,15.0,clear,1012.09,10,Winter,5.5,inland,Sunny,22.8,1035.0,0.40298507462686567,0.6125,0.061855670103092786,0.15,0.5311333283219324,0.7142857142857143,0.275,0.40870786516853935,0.1035,0,0,0,1,0,1,0,clear,0,train
35.0,21,10.0,6.0,clear,1026.81,5,Autumn,7.5,coastal,Sunny,19.2,126.0,0.44776119402985076,0.0125,0.20618556701030927,0.06,0.5680172392192235,0.35714285714285715,0.375,0.3834269662921348,0.0126,1,0,0,0,1,0,0,clear,0,train
11.0,90,25.5,76.0,partly cloudy,996.17,0,Winter,1.0,mountain,Rainy,9.0,6840.0,0.26865671641791045,0.875,0.5257731958762887,0.76,0.4912425768623617,0.0,0.05,0.31179775280898875,0.684,0,0,0,1,0,0,1,partly cloudy,3,train
2.0,100,19.0,100.0,overcast,991.68,7,Winter,3.5,mountain,Snowy,2.0,10000.0,0.20149253731343283,1.0,0.3917525773195876,1.0,0.47999198175850044,0.5,0.175,0.26264044943820225,1.0,0,0,0,1,0,0,1,overcast,2,train
-9.0,49,1.5,58.0,partly cloudy,1132.2,8,Spring,16.5,mountain,Snowy,-19.2,2842.0,0.11940298507462686,0.3625,0.030927835051546393,0.58,0.8320930116013932,0.5714285714285714,0.825,0.11376404494382021,0.2842,0,1,0,0,0,0,1,partly cloudy,3,train
27.0,64,11.5,37.0,partly cloudy,1017.27,3,Autumn,8.0,coastal,Cloudy,19.8,2368.0,0.3880597014925373,0.55,0.23711340206185566,0.37,0.5441128567491041,0.21428571428571427,0.4,0.38764044943820225,0.2368,1,0,0,0,1,0,0,partly cloudy,3,val
32.0,37,0.5,9.0,partly cloudy,1013.99,11,Winter,8.5,inland,Sunny,19.4,333.0,0.4253731343283582,0.2125,0.010309278350515464,0.09,0.5358941592122077,0.7857142857142857,0.425,0.38483146067415724,0.0333,0,0,0,1,0,1,0,partly cloudy,3,train
36.0,22,1.0,0.0,clear,1028.63,10,Summer,5.5,mountain,Sunny,20.4,0.0,0.4552238805970149,0.025,0.020618556701030927,0.0,0.572577614072014,0.7142857142857143,0.275,0.39185393258426965,0.0,0,0,1,0,0,0,1,clear,0,train
28.0,54,15.0,39.0,partly cloudy,1018.86,3,Winter,8.5,mountain,Cloudy,18.8,2106.0,0.39552238805970147,0.425,0.30927835051546393,0.39,0.5480969204941241,0.21428571428571427,0.425,0.3806179775280899,0.2106,0,0,0,1,0,0,1,partly cloudy,3,train
42.0,64,2.0,18.0,partly cloudy,1028.55,8,Autumn,8.0,mountain,Sunny,34.8,1152.0,0.5,0.55,0.041237113402061855,0.18,0.5723771580345284,0.5714285714285714,0.4,0.49297752808988754,0.1152,1,0,0,0,0,0,1,partly cloudy,3,train
21.0,43,10.0,11.0,clear,1019.41,11,Spring,6.0,mountain,Sunny,9.6,473.0,0.34328358208955223,0.2875,0.20618556701030927,0.11,0.5494750557518353,0.7857142857142857,0.3,0.31601123595505615,0.0473,0,1,0,0,0,0,1,clear,0,train
22.0,50,0.0,18.0,clear,1016.5,5,Summer,8.0,coastal,Sunny,12.0,900.0,0.35074626865671643,0.375,0.0,0.18,0.5421834673883084,0.35714285714285715,0.4,0.3328651685393258,0.09,0,0,1,0,1,0,0,clear,0,train
33.0,66,9.0,18.0,partly cloudy,1014.34,3,Autumn,6.0,mountain,Cloudy,26.2,1188.0,0.43283582089552236,0.575,0.18556701030927836,0.18,0.5367711543762059,0.21428571428571427,0.3,0.4325842696629213,0.1188,1,0,0,0,0,0,1,partly cloudy,3,train
26.0,25,2.5,14.0,partly cloudy,1010.34,8,Winter,5.0,mountain,Sunny,11.0,350.0,0.3805970149253731,0.0625,0.05154639175257732,0.14,0.526748352501942,0.5714285714285714,0.25,0.32584269662921345,0.035,0,0,0,1,0,0,1,partly cloudy,3,train
26.0,91,9.5,82.0,overcast,1019.42,3,Summer,4.0,mountain,Rainy,24.2,7462.0,0.3805970149253731,0.8875,0.1958762886597938,0.82,0.5495001127565209,0.21428571428571427,0.2,0.4185393258426966,0.7462,0,0,1,0,0,0,1,overcast,2,train
-2.0,98,18.5,86.0,overcast,981.26,0,Winter,3.5,mountain,Snowy,-2.4,8428.0,0.17164179104477612,0.975,0.38144329896907214,0.86,0.45388258287604294,0.0,0.175,0.23174157303370785,0.8428,0,0,0,1,0,0,1,overcast,2,train
17.0,90,11.0,98.0,overcast,1017.49,3,Winter,4.0,inland,Rainy,15.0,8820.0,0.31343283582089554,0.875,0.2268041237113402,0.98,0.5446641108521887,0.21428571428571427,0.2,0.3539325842696629,0.882,0,0,0,1,0,1,0,overcast,2,train
25.0,55,8.5,37.0,partly cloudy,1014.49,4,Summer,7.5,inland,Cloudy,16.0,2035.0,0.373134328358209,0.4375,0.17525773195876287,0.37,0.5371470094464907,0.2857142857142857,0.375,0.36095505617977525,0.2035,0,0,1,0,0,1,0,partly cloudy,3,train
-4.0,96,20.0,88.0,partly cloudy,990.72,1,Winter,4.5,mountain,Snowy,-4.8,8448.0,0.15671641791044777,0.95,0.41237113402061853,0.88,0.47758650930867724,0.07142857142857142,0.225,0.21488764044943817,0.8448,0,0,0,1,0,0,1,partly cloudy,3,train
-1.0,87,14.0,78.0,overcast,984.11,0,Winter,4.0,inland,Snowy,-3.6,6786.0,0.1791044776119403,0.8375,0.28865979381443296,0.78,0.46102382921145607,0.0,0.2,0.223314606741573,0.6786,0,0,0,1,0,1,0,overcast,2,val
-5.0,94,5.5,55.0,overcast,991.65,0,Winter,3.0,inland,Snowy,-6.2,5170.0,0.14925373134328357,0.925,0.1134020618556701,0.55,0.4799168107444435,0.0,0.15,0.20505617977528087,0.517,0,0,0,1,0,1,0,overcast,2,train
22.0,95,13.0,90.0,overcast,997.97,3,Autumn,2.5,coastal,Rainy,21.0,8550.0,0.35074626865671643,0.9375,0.26804123711340205,0.9,0.49575283770578066,0.21428571428571427,0.125,0.39606741573033705,0.855,1,0,0,0,1,0,0,overcast,2,train
41.0,85,9.0,100.0,overcast,1017.89,3,Summer,7.5,mountain,Cloudy,38.0,8500.0,0.4925373134328358,0.8125,0.18556701030927836,1.0,0.545666391039615,0.21428571428571427,0.375,0.5154494382022472,0.85,0,0,1,0,0,0,1,overcast,2,train
33.0,41,0.0,4.0,clear,1018.56,7,Winter,9.5,coastal,Sunny,21.2,164.0,0.43283582089552236,0.2625,0.0,0.04,0.5473452103535541,0.5,0.475,0.3974719101123595,0.0164,0,0,0,1,1,0,0,clear,0,val
31.0,70,0.5,69.0,overcast,1074.07,3,Spring,12.5,inland,Sunny,25.0,4830.0,0.417910447761194,0.625,0.010309278350515464,0.69,0.6864366433636521,0.21428571428571427,0.625,0.4241573033707865,0.483,0,1,0,0,0,1,0,overcast,2,val
16.0,84,18.5,54.0,overcast,996.12,0,Spring,3.0,coastal,Rainy,12.8,4536.0,0.30597014925373134,0.8,0.38144329896907214,0.54,0.49111729183893355,0.0,0.15,0.33848314606741575,0.4536,0,1,0,0,1,0,0,overcast,2,train
