feature,delta_mse
Temperature (C)_normalized,0.7233967557549477
doy_cos,0.07293013483285904
h_sin,0.03588712215423584
h_cos,0.03180281072854996
Wind Speed (km/h)_normalized,0.010668307542800903
wind_bearing_cos,0.01015906035900116
Humidity_normalized,0.010132946074008942
Pressure (millibars)_normalized,0.00885678082704544
Visibility (km)_normalized,0.006820313632488251
doy_sin,0.005414895713329315
wind_bearing_sin,0.0053867921233177185
Summary_Overcast,0.0038940012454986572
Precip Type_normalized,0.0020758509635925293
Summary_Partly Cloudy,0.0020145103335380554
Summary_Foggy,0.001772269606590271
Summary_Mostly Cloudy,0.0016494616866111755
dow_sin,0.0014186277985572815
Summary_Clear,0.0010763779282569885
dow_cos,-0.0006622523069381714
