h,MAE_z,RMSE_z,MAE_C,RMSE_C
1,0.08215636759996414,0.10798050463199615,0.8104937672615051,1.0652556419372559
2,0.09825130552053452,0.13042248785495758,0.969274640083313,1.2866514921188354
3,0.11126483976840973,0.14923736453056335,1.097656488418579,1.4722652435302734
4,0.12295202910900116,0.16433410346508026,1.2129536867141724,1.6211984157562256
5,0.13593702018260956,0.17996270954608917,1.34105384349823,1.775378704071045
6,0.14672605693340302,0.1923263967037201,1.4474905729293823,1.8973498344421387
7,0.152510404586792,0.20058080554008484,1.5045546293258667,1.9787817001342773
8,0.16151441633701324,0.20997342467308044,1.593381643295288,2.0714423656463623
9,0.16505885124206543,0.21521800756454468,1.628348469734192,2.1231813430786133
10,0.17020802199840546,0.22114630043506622,1.679146409034729,2.1816656589508057
11,0.17366883158683777,0.2261315882205963,1.7132881879806519,2.230846881866455
12,0.1779203712940216,0.2312099039554596,1.7552307844161987,2.2809455394744873
13,0.1815062314271927,0.23500485718250275,1.790605902671814,2.3183839321136475
14,0.18589386343955994,0.2392556071281433,1.8338910341262817,2.360318422317505
15,0.1907479465007782,0.24495023488998413,1.8817778825759888,2.4164974689483643
16,0.1933748722076416,0.247615247964859,1.9076930284500122,2.442788600921631
17,0.19659653306007385,0.251294881105423,1.9394757747650146,2.4790890216827393
18,0.19985778629779816,0.25459617376327515,1.9716488122940063,2.511657238006592
19,0.20187781751155853,0.2577753961086273,1.9915771484375,2.5430209636688232
20,0.2046562284231186,0.26038411259651184,2.018986701965332,2.5687568187713623
21,0.2054685652256012,0.26238447427749634,2.027000665664673,2.5884909629821777
22,0.20836380124092102,0.2654981017112732,2.055562973022461,2.6192073822021484
23,0.21030651032924652,0.26898497343063354,2.074728488922119,2.653606414794922
24,0.21152201294898987,0.27085867524147034,2.086719274520874,2.672090768814087
