feature,delta_mse,delta_mse_%,base_mse
Temperature (C)_normalized,0.09209474888349546,2685193.368300494,3.429725023557013e-06
Summary_Partly Cloudy,6.704287251107187e-06,195.47594063835714,3.429725023557013e-06
Summary_Overcast,5.2391618015105885e-06,152.75748829790982,3.429725023557013e-06
Summary_Clear,4.3768744011407135e-06,127.61589839063541,3.429725023557013e-06
Summary_Mostly Cloudy,3.6552843536548304e-06,106.57660099712271,3.429725023557013e-06
Summary_Foggy,2.6637406513034074e-06,77.66630365430308,3.429725023557013e-06
h_cos,6.091255130011934e-07,17.760185111559217,3.429725023557013e-06
h_sin,6.083795377338814e-07,17.738434817812973,3.429725023557013e-06
dow_cos,3.5687790328790514e-07,10.405437778151159,3.429725023557013e-06
dow_sin,3.536191607586238e-07,10.310423090183502,3.429725023557013e-06
Precip Type_normalized,1.2961563323272215e-07,3.7791844052353816,3.429725023557013e-06
doy_cos,5.885504726992025e-08,1.7160281616069881,3.429725023557013e-06
wind_bearing_cos,2.624185894200341e-08,0.7651301128155059,3.429725023557013e-06
doy_sin,7.920465320739164e-09,0.23093586997026205,3.429725023557013e-06
wind_bearing_sin,2.7361319515071334e-09,0.07977700639888194,3.429725023557013e-06
