Formatted Date,pred_Temperature (C)_normalized,pred_Temperature (C)
2016-12-31 23:00:00,3.1952047,5.27719
2017-01-01 00:00:00,3.194322,5.275937
2017-01-01 01:00:00,3.1985583,5.281953
2017-01-01 02:00:00,3.1980805,5.281274
2017-01-01 03:00:00,3.2014725,5.286091
2017-01-01 04:00:00,3.20346,5.288913
2017-01-01 05:00:00,3.2013323,5.2858915
2017-01-01 06:00:00,3.2050228,5.291132
2017-01-01 07:00:00,3.202222,5.287155
2017-01-01 08:00:00,3.2064881,5.293213
2017-01-01 09:00:00,3.1988924,5.282427
2017-01-01 10:00:00,3.2004635,5.2846584
2017-01-01 11:00:00,3.1990554,5.2826586
2017-01-01 12:00:00,3.2010674,5.285516
2017-01-01 13:00:00,3.2050412,5.2911587
2017-01-01 14:00:00,3.2028024,5.287979
2017-01-01 15:00:00,3.2051048,5.2912483
2017-01-01 16:00:00,3.2020886,5.2869654
2017-01-01 17:00:00,3.2041495,5.289892
2017-01-01 18:00:00,3.2002945,5.284418
2017-01-01 19:00:00,3.205993,5.29251
2017-01-01 20:00:00,3.2019536,5.2867737
2017-01-01 21:00:00,3.1982746,5.2815495
2017-01-01 22:00:00,3.2073214,5.2943964
