Formatted Date,pred_Temperature (C)_normalized
2016-12-31 23:00:00,-1.2102975
2017-01-01 00:00:00,-1.231013
2017-01-01 01:00:00,-1.2273623
2017-01-01 02:00:00,-1.2304088
2017-01-01 03:00:00,-1.2363228
2017-01-01 04:00:00,-1.2442608
2017-01-01 05:00:00,-1.2249491
2017-01-01 06:00:00,-1.191142
2017-01-01 07:00:00,-1.1189518
2017-01-01 08:00:00,-1.0242699
2017-01-01 09:00:00,-0.9270052
2017-01-01 10:00:00,-0.8317846
2017-01-01 11:00:00,-0.7458401
2017-01-01 12:00:00,-0.71087486
2017-01-01 13:00:00,-0.71992034
2017-01-01 14:00:00,-0.7622123
2017-01-01 15:00:00,-0.8485342
2017-01-01 16:00:00,-0.9268836
2017-01-01 17:00:00,-1.0014689
2017-01-01 18:00:00,-1.0559696
2017-01-01 19:00:00,-1.0861226
2017-01-01 20:00:00,-1.1142826
2017-01-01 21:00:00,-1.1282648
2017-01-01 22:00:00,-1.1642858
