Formatted Date,pred_Temperature (C)_normalized,pred_Temperature (C)
2016-12-31 23:00:00,-1.4388314,-1.8103151
2017-01-01 00:00:00,-1.4465554,-1.8840904
2017-01-01 01:00:00,-1.5200319,-2.5859013
2017-01-01 02:00:00,-1.4434699,-1.854619
2017-01-01 03:00:00,-1.4849354,-2.250677
2017-01-01 04:00:00,-1.521925,-2.603983
2017-01-01 05:00:00,-1.5146897,-2.534875
2017-01-01 06:00:00,-1.4688957,-2.097474
2017-01-01 07:00:00,-1.4380994,-1.8033228
2017-01-01 08:00:00,-1.4854386,-2.2554836
2017-01-01 09:00:00,-1.4587307,-2.0003834
2017-01-01 10:00:00,-1.3180367,-0.6565447
2017-01-01 11:00:00,-1.2936461,-0.42357826
2017-01-01 12:00:00,-1.1439421,1.006319
2017-01-01 13:00:00,-1.3020267,-0.50362587
2017-01-01 14:00:00,-1.2745116,-0.24081421
2017-01-01 15:00:00,-1.2637815,-0.13832664
2017-01-01 16:00:00,-1.3104944,-0.5845051
2017-01-01 17:00:00,-1.3624493,-1.0807514
2017-01-01 18:00:00,-1.4424584,-1.8449583
2017-01-01 19:00:00,-1.4376892,-1.7994051
2017-01-01 20:00:00,-1.5319086,-2.6993418
2017-01-01 21:00:00,-1.4758589,-2.1639833
2017-01-01 22:00:00,-1.5205365,-2.5907211
2017-01-01 23:00:00,-1.5383252,-2.7606297
2017-01-02 00:00:00,-1.56997,-3.0628853
2017-01-02 01:00:00,-1.5450132,-2.8245096
2017-01-02 02:00:00,-1.5342942,-2.722128
2017-01-02 03:00:00,-1.5996354,-3.3462334
2017-01-02 04:00:00,-1.6142036,-3.4853811
2017-01-02 05:00:00,-1.5679796,-3.0438728
2017-01-02 06:00:00,-1.6387575,-3.7199078
2017-01-02 07:00:00,-1.5074626,-2.465846
2017-01-02 08:00:00,-1.3881062,-1.3258133
2017-01-02 09:00:00,-1.3869448,-1.3147202
2017-01-02 10:00:00,-1.3496693,-0.95868397
2017-01-02 11:00:00,-1.2996216,-0.4806528
2017-01-02 12:00:00,-1.2946671,-0.43333054
2017-01-02 13:00:00,-1.2124956,0.35153103
2017-01-02 14:00:00,-1.3895149,-1.3392687
2017-01-02 15:00:00,-1.283106,-0.32290363
2017-01-02 16:00:00,-1.3562555,-1.0215921
2017-01-02 17:00:00,-1.311056,-0.58986855
2017-01-02 18:00:00,-1.4001985,-1.4413128
2017-01-02 19:00:00,-1.4722412,-2.129428
2017-01-02 20:00:00,-1.494148,-2.3386717
2017-01-02 21:00:00,-1.6252507,-3.5908985
2017-01-02 22:00:00,-1.5365418,-2.7435951
2017-01-02 23:00:00,-1.5565261,-2.934475
2017-01-03 00:00:00,-1.5619774,-2.9865437
2017-01-03 01:00:00,-1.5794203,-3.1531496
2017-01-03 02:00:00,-1.6343486,-3.6777973
2017-01-03 03:00:00,-1.6054046,-3.4013386
2017-01-03 04:00:00,-1.5897682,-3.2519865
2017-01-03 05:00:00,-1.639826,-3.730115
2017-01-03 06:00:00,-1.5704046,-3.0670366
2017-01-03 07:00:00,-1.6067773,-3.4144497
2017-01-03 08:00:00,-1.4952053,-2.3487701
2017-01-03 09:00:00,-1.4948509,-2.3453846
2017-01-03 10:00:00,-1.4319935,-1.7450027
2017-01-03 11:00:00,-1.3490341,-0.95261574
2017-01-03 12:00:00,-1.3683746,-1.1373472
2017-01-03 13:00:00,-1.3013139,-0.49681664
2017-01-03 14:00:00,-1.4028794,-1.466919
2017-01-03 15:00:00,-1.3340356,-0.8093586
2017-01-03 16:00:00,-1.5386372,-2.763609
2017-01-03 17:00:00,-1.4473815,-1.8919811
2017-01-03 18:00:00,-1.4839967,-2.2417116
2017-01-03 19:00:00,-1.5657672,-3.0227413
2017-01-03 20:00:00,-1.5588429,-2.956604
2017-01-03 21:00:00,-1.6316524,-3.6520433
2017-01-03 22:00:00,-1.5997334,-3.347169
2017-01-03 23:00:00,-1.5669867,-3.0343895
2017-01-04 00:00:00,-1.6743064,-4.059453
2017-01-04 01:00:00,-1.6166179,-3.508442
2017-01-04 02:00:00,-1.6371232,-3.704299
2017-01-04 03:00:00,-1.6879177,-4.1894627
2017-01-04 04:00:00,-1.6946597,-4.2538586
2017-01-04 05:00:00,-1.6400814,-3.7325535
2017-01-04 06:00:00,-1.6977674,-4.2835407
2017-01-04 07:00:00,-1.6487529,-3.8153791
2017-01-04 08:00:00,-1.5393237,-2.7701664
2017-01-04 09:00:00,-1.561688,-2.983779
2017-01-04 10:00:00,-1.499984,-2.394414
2017-01-04 11:00:00,-1.4357184,-1.7805815
2017-01-04 12:00:00,-1.2926209,-0.41378593
2017-01-04 13:00:00,-1.4049834,-1.4870157
2017-01-04 14:00:00,-1.4034848,-1.472702
