Formatted Date,pred_Temperature (C)_normalized,pred_Temperature (C)
2016-12-31 23:00:00,-1.3370351,-0.8380079
2017-01-01 00:00:00,-1.3700554,-1.1534014
2017-01-01 01:00:00,-1.3594724,-1.0523176
2017-01-01 02:00:00,-1.3752978,-1.203474
2017-01-01 03:00:00,-1.4019145,-1.4577026
2017-01-01 04:00:00,-1.4239868,-1.6685266
2017-01-01 05:00:00,-1.4842023,-2.2436743
2017-01-01 06:00:00,-1.4847338,-2.2487516
2017-01-01 07:00:00,-1.4550732,-1.9654484
2017-01-01 08:00:00,-1.3576967,-1.0353565
2017-01-01 09:00:00,-1.2468891,0.023020744
2017-01-01 10:00:00,-1.1199802,1.2351913
2017-01-01 11:00:00,-1.0455756,1.9458666
2017-01-01 12:00:00,-0.9897652,2.478939
2017-01-01 13:00:00,-0.9500507,2.8582726
2017-01-01 14:00:00,-0.9418,2.9370785
2017-01-01 15:00:00,-0.970963,2.6585283
2017-01-01 16:00:00,-1.0388752,2.0098648
2017-01-01 17:00:00,-1.0488833,1.9142733
2017-01-01 18:00:00,-1.1161499,1.2717762
2017-01-01 19:00:00,-1.1979328,0.4906273
2017-01-01 20:00:00,-1.2137586,0.33946705
2017-01-01 21:00:00,-1.262706,-0.12805367
2017-01-01 22:00:00,-1.2709605,-0.20689583
