h,mae_z,rmse_z,mae_C,rmse_C
0,0.16400526,0.21016645,1.6179425,2.073331
1,0.16133992,0.21173672,1.5916483,2.0888221
2,0.17249271,0.22496201,1.7016727,2.219292
3,0.18113428,0.23822473,1.7869234,2.3501313
4,0.18789582,0.25066757,1.8536272,2.4728823
5,0.19313882,0.2570596,1.9053503,2.5359406
6,0.19864742,0.26402006,1.9596938,2.6046069
7,0.2057133,0.26992968,2.0293999,2.6629064
8,0.20913212,0.27569228,2.0631273,2.7197556
9,0.20935024,0.27718547,2.065279,2.734486
10,0.20990595,0.2800205,2.0707612,2.7624543
11,0.21341577,0.28166342,2.1053863,2.778662
12,0.21255529,0.28311408,2.0968974,2.792973
13,0.20992966,0.28768572,2.070995,2.838073
14,0.21367764,0.28820586,2.1079698,2.8432043
15,0.21616483,0.28835532,2.1325061,2.8446789
16,0.21476555,0.288639,2.118702,2.8474774
17,0.21765518,0.29132074,2.1472087,2.8739333
18,0.22292006,0.29549393,2.1991477,2.9151025
19,0.2330834,0.30294004,2.299411,2.9885597
20,0.23053235,0.30102992,2.2742445,2.969716
21,0.23531622,0.30457896,2.321438,3.004728
22,0.23769481,0.3082118,2.3449035,3.0405667
23,0.25207388,0.32272,2.4867556,3.1836927
24,0.25681245,0.32823968,2.5335026,3.2381454
25,0.2689559,0.34101263,2.6532998,3.364153
26,0.27295056,0.34589064,2.692708,3.4122753
27,0.27780572,0.35130158,2.7406049,3.4656553
28,0.29263663,0.3690381,2.8869147,3.6406295
29,0.28950325,0.3655328,2.8560033,3.6060488
30,0.29825726,0.37580863,2.9423633,3.707422
31,0.29182824,0.367686,2.8789399,3.6272907
32,0.2970899,0.3743634,2.9308472,3.6931643
33,0.30090997,0.3780392,2.9685328,3.729427
34,0.29751128,0.3751625,2.935004,3.701048
35,0.29827285,0.37701547,2.942517,3.7193277
36,0.29421276,0.3723827,2.9024634,3.6736245
37,0.29194975,0.3700727,2.8801384,3.6508358
38,0.2985813,0.3767373,2.94556,3.7165835
39,0.29592255,0.3743305,2.9193308,3.6928399
40,0.3066764,0.3845821,3.0254195,3.793974
41,0.3028285,0.38024387,2.9874594,3.7511764
42,0.29987967,0.37846994,2.9583685,3.7336762
43,0.30703846,0.38521826,3.0289915,3.8002498
44,0.31354493,0.39234307,3.093179,3.8705373
45,0.31337124,0.3921706,3.0914655,3.868836
46,0.3146014,0.39424396,3.1036012,3.8892899
