[LOG] Escribiendo logs en: outputs/lstm_summary_line_cls\log\train_20250831-222838.log
Modelo seleccionado: LSTM (Clasificación Summary, *una línea -> clase*)
Modo: SIN ventanas deslizantes (seq_len=1).
Dataset: data/weather_classification_normalized_2_class.csv
Tiempo: None | Clases: 2
Features (18): ['Temperature_normalized', 'Humidity_normalized', 'Wind Speed_normalized', 'Precipitation (%)_normalized', 'Cloud Cover_clear', 'Cloud Cover_cloudy', 'Cloud Cover_overcast', 'Cloud Cover_partly cloudy', 'Atmospheric Pressure_normalized', 'UV Index_normalized', 'Season_Autumn', 'Season_Spring', 'Season_Summer', 'Season_Winter', 'Visibility (km)_normalized', 'Location_coastal', 'Location_inland', 'Location_mountain']
Nota: excluimos 'Summary_*' de FEATURES para evitar fuga de información.
Salida: outputs/lstm_summary_line_cls (guardado class_index.json)
Inicio entrenamiento — clases=2 | muestras: train=9240, val=1980, test=1980
Epoch 001 | train_loss=0.5895 | train_acc=0.8515 | train_f1=0.8508 | val_loss=0.4792 | val_acc=0.8904 | val_f1=0.8904
Epoch 002 | train_loss=0.3684 | train_acc=0.9016 | train_f1=0.9016 | val_loss=0.3128 | val_acc=0.9005 | val_f1=0.9005
Epoch 003 | train_loss=0.2606 | train_acc=0.9122 | train_f1=0.9122 | val_loss=0.2579 | val_acc=0.9101 | val_f1=0.9101
Epoch 004 | train_loss=0.2246 | train_acc=0.9221 | train_f1=0.9221 | val_loss=0.2244 | val_acc=0.9146 | val_f1=0.9146
Epoch 005 | train_loss=0.2040 | train_acc=0.9237 | train_f1=0.9237 | val_loss=0.2051 | val_acc=0.9182 | val_f1=0.9182
Epoch 006 | train_loss=0.1906 | train_acc=0.9268 | train_f1=0.9268 | val_loss=0.1902 | val_acc=0.9177 | val_f1=0.9177
Epoch 007 | train_loss=0.1804 | train_acc=0.9285 | train_f1=0.9285 | val_loss=0.1799 | val_acc=0.9242 | val_f1=0.9242
Epoch 008 | train_loss=0.1724 | train_acc=0.9287 | train_f1=0.9287 | val_loss=0.1713 | val_acc=0.9268 | val_f1=0.9268
Epoch 009 | train_loss=0.1665 | train_acc=0.9298 | train_f1=0.9298 | val_loss=0.1663 | val_acc=0.9278 | val_f1=0.9278
Epoch 010 | train_loss=0.1625 | train_acc=0.9301 | train_f1=0.9301 | val_loss=0.1618 | val_acc=0.9288 | val_f1=0.9288
Epoch 011 | train_loss=0.1590 | train_acc=0.9306 | train_f1=0.9306 | val_loss=0.1593 | val_acc=0.9298 | val_f1=0.9298
Epoch 012 | train_loss=0.1566 | train_acc=0.9312 | train_f1=0.9312 | val_loss=0.1581 | val_acc=0.9293 | val_f1=0.9293
Epoch 013 | train_loss=0.1546 | train_acc=0.9318 | train_f1=0.9318 | val_loss=0.1546 | val_acc=0.9303 | val_f1=0.9303
Epoch 014 | train_loss=0.1520 | train_acc=0.9339 | train_f1=0.9339 | val_loss=0.1525 | val_acc=0.9298 | val_f1=0.9298
Epoch 015 | train_loss=0.1500 | train_acc=0.9338 | train_f1=0.9338 | val_loss=0.1520 | val_acc=0.9318 | val_f1=0.9318
Epoch 016 | train_loss=0.1481 | train_acc=0.9363 | train_f1=0.9363 | val_loss=0.1488 | val_acc=0.9308 | val_f1=0.9308
Epoch 017 | train_loss=0.1468 | train_acc=0.9346 | train_f1=0.9346 | val_loss=0.1476 | val_acc=0.9308 | val_f1=0.9308
Epoch 018 | train_loss=0.1451 | train_acc=0.9363 | train_f1=0.9363 | val_loss=0.1464 | val_acc=0.9313 | val_f1=0.9313
Epoch 019 | train_loss=0.1436 | train_acc=0.9369 | train_f1=0.9369 | val_loss=0.1459 | val_acc=0.9328 | val_f1=0.9328
Epoch 020 | train_loss=0.1423 | train_acc=0.9381 | train_f1=0.9381 | val_loss=0.1442 | val_acc=0.9323 | val_f1=0.9323
Epoch 021 | train_loss=0.1409 | train_acc=0.9384 | train_f1=0.9384 | val_loss=0.1437 | val_acc=0.9343 | val_f1=0.9343
Epoch 022 | train_loss=0.1402 | train_acc=0.9385 | train_f1=0.9385 | val_loss=0.1424 | val_acc=0.9328 | val_f1=0.9328
Epoch 023 | train_loss=0.1387 | train_acc=0.9387 | train_f1=0.9387 | val_loss=0.1415 | val_acc=0.9343 | val_f1=0.9343
Epoch 024 | train_loss=0.1380 | train_acc=0.9394 | train_f1=0.9394 | val_loss=0.1406 | val_acc=0.9328 | val_f1=0.9328
Epoch 025 | train_loss=0.1367 | train_acc=0.9391 | train_f1=0.9391 | val_loss=0.1404 | val_acc=0.9348 | val_f1=0.9348
Epoch 026 | train_loss=0.1360 | train_acc=0.9394 | train_f1=0.9394 | val_loss=0.1394 | val_acc=0.9348 | val_f1=0.9348
Epoch 027 | train_loss=0.1352 | train_acc=0.9400 | train_f1=0.9400 | val_loss=0.1389 | val_acc=0.9343 | val_f1=0.9343
Epoch 028 | train_loss=0.1344 | train_acc=0.9415 | train_f1=0.9415 | val_loss=0.1383 | val_acc=0.9354 | val_f1=0.9353
Epoch 029 | train_loss=0.1338 | train_acc=0.9416 | train_f1=0.9416 | val_loss=0.1382 | val_acc=0.9348 | val_f1=0.9348
Epoch 030 | train_loss=0.1331 | train_acc=0.9422 | train_f1=0.9422 | val_loss=0.1371 | val_acc=0.9364 | val_f1=0.9364
Epoch 031 | train_loss=0.1326 | train_acc=0.9422 | train_f1=0.9422 | val_loss=0.1374 | val_acc=0.9369 | val_f1=0.9368
Epoch 032 | train_loss=0.1321 | train_acc=0.9419 | train_f1=0.9419 | val_loss=0.1366 | val_acc=0.9384 | val_f1=0.9384
Epoch 033 | train_loss=0.1315 | train_acc=0.9419 | train_f1=0.9419 | val_loss=0.1363 | val_acc=0.9374 | val_f1=0.9374
Epoch 034 | train_loss=0.1311 | train_acc=0.9427 | train_f1=0.9427 | val_loss=0.1361 | val_acc=0.9369 | val_f1=0.9369
Epoch 035 | train_loss=0.1307 | train_acc=0.9426 | train_f1=0.9426 | val_loss=0.1358 | val_acc=0.9364 | val_f1=0.9364
Epoch 036 | train_loss=0.1305 | train_acc=0.9431 | train_f1=0.9431 | val_loss=0.1357 | val_acc=0.9369 | val_f1=0.9369
Epoch 037 | train_loss=0.1301 | train_acc=0.9423 | train_f1=0.9423 | val_loss=0.1355 | val_acc=0.9369 | val_f1=0.9369
Epoch 038 | train_loss=0.1299 | train_acc=0.9430 | train_f1=0.9430 | val_loss=0.1354 | val_acc=0.9379 | val_f1=0.9379
Epoch 039 | train_loss=0.1296 | train_acc=0.9434 | train_f1=0.9434 | val_loss=0.1352 | val_acc=0.9369 | val_f1=0.9369
Epoch 040 | train_loss=0.1294 | train_acc=0.9426 | train_f1=0.9426 | val_loss=0.1351 | val_acc=0.9374 | val_f1=0.9374
Epoch 041 | train_loss=0.1293 | train_acc=0.9430 | train_f1=0.9430 | val_loss=0.1350 | val_acc=0.9374 | val_f1=0.9374
Epoch 042 | train_loss=0.1291 | train_acc=0.9431 | train_f1=0.9431 | val_loss=0.1349 | val_acc=0.9374 | val_f1=0.9374
Epoch 043 | train_loss=0.1290 | train_acc=0.9430 | train_f1=0.9430 | val_loss=0.1349 | val_acc=0.9364 | val_f1=0.9364
