Weather Type,Temperature_normalized,Humidity_normalized,Wind Speed_normalized,Precipitation (%)_normalized,Cloud Cover_clear,Cloud Cover_cloudy,Cloud Cover_overcast,Cloud Cover_partly cloudy,Atmospheric Pressure_normalized,UV Index_normalized,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Visibility (km)_normalized,Location_coastal,Location_inland,Location_mountain,Weather Type_Cloudy,Weather Type_Sunny
Cloudy,0.8217172633727458,1.9255429321291515,0.2288909927473358,1.350413974010148,0,0,0,1,-0.06502199455883179,0.36067921621895443,0,1,0,0,1.0678353973936925,0,1,0,1,0
Sunny,0.1697622991305878,0.27682683727400736,-0.05985290089770597,-0.5589329444388415,1,0,0,0,0.13898940924825934,-0.1965312766523278,0,1,0,0,-0.709325818729816,0,0,1,0,1
Sunny,0.7492778229013949,1.2557520185942492,-1.1185805109295257,1.732283357699946,1,0,0,0,0.34971723787204184,0.36067921621895443,0,1,0,0,-2.4864870348533246,1,0,0,0,1
Cloudy,0.31464118007328956,-0.1868745644040019,-0.7335886527361368,-0.21177895926629794,0,0,1,0,-0.10420113932288115,-1.0323470159592512,0,0,1,0,-0.9067881760768726,0,1,0,1,0
Sunny,0.024883418187886024,0.7920506169162399,0.2288909927473358,2.600168320631304,1,0,0,0,-0.04543242217680551,0.6392844626545956,0,0,0,1,0.08052361065840993,1,0,0,0,1
Cloudy,0.5319595014873423,-0.7020983440462344,-0.2523488299944005,1.8711449517689631,0,0,0,1,-3.7464623472093863,-1.0323470159592512,0,1,0,0,-2.4864870348533246,0,0,1,1,0
Sunny,0.7492778229013949,-0.8051430999746809,-1.0223325463811785,-0.5589329444388415,1,0,0,0,0.43115388877446237,1.475100201961519,1,0,0,0,0.08052361065840993,0,1,0,0,1
Cloudy,-1.1341476293537283,0.019214947452891096,0.6138828509407248,-0.2464943577835523,0,0,0,1,0.06510873626462257,-0.75374176952361,1,0,0,0,-0.709325818729816,0,0,1,1,0
Sunny,-0.26487434369751756,-1.9386354151875924,-0.7335886527361368,-0.8366561325768763,1,0,0,0,0.1434670257927213,0.6392844626545956,0,0,0,1,-0.709325818729816,1,0,0,0,1
Cloudy,-1.27902651029643,-0.4444864542251182,-0.15610086544605323,0.4825290110787891,0,0,0,1,-0.37257828095662143,-1.0323470159592512,0,0,1,0,0.4754483253525229,0,0,1,1,0
Sunny,0.1697622991305878,-1.629501147402253,-0.05985290089770597,-0.6630791399906045,0,0,0,1,0.07350426728548916,-0.1965312766523278,0,1,0,0,0.08052361065840993,0,1,0,0,1
Cloudy,0.3870806205446405,-0.3929640762608949,-1.3110764400262203,-0.17706356074904359,0,0,1,0,-0.12798847721534073,-0.75374176952361,1,0,0,0,-0.709325818729816,1,0,0,1,0
Sunny,1.1114750252581493,-0.6505759660820112,-1.3110764400262203,-0.5936483429560958,1,0,0,0,0.33712394134073875,0.9178897090902367,0,1,0,0,-0.5118634613827596,0,0,1,0,1
Sunny,-1.0617081888823774,2.2346771999144908,0.9026267445857666,1.3851293725274023,1,0,0,0,-0.042074209768458236,-0.47513652308796894,0,0,1,0,0.27798596800546643,0,1,0,0,1
Sunny,0.3870806205446405,-1.1657997457242437,0.03639506365064129,-0.4895021474043328,1,0,0,0,0.015015401173442182,0.6392844626545956,0,0,1,0,0.870373040046636,0,0,1,0,1
Cloudy,-0.11999546275481575,0.7405282389520166,1.1913706382308085,-0.10763276371453488,0,0,1,0,-0.048510783551124106,-1.3109522623948924,0,0,1,0,0.6729106826995794,0,1,0,1,0
Cloudy,0.7492778229013949,1.2557520185942492,-0.05985290089770597,2.391875929527778,0,0,0,1,0.11716102859400368,-0.47513652308796894,0,1,0,0,0.4754483253525229,0,0,1,1,0
Sunny,0.8941567038440967,-0.0838298084755554,-0.6373406881877896,-0.6977945385078589,0,0,0,1,0.19523946708807374,1.475100201961519,0,0,0,1,0.870373040046636,1,0,0,0,1
Sunny,-0.26487434369751756,0.1222597033813376,-0.15610086544605323,-1.010233125163148,0,0,0,1,0.123037900308609,0.36067921621895443,1,0,0,0,-0.709325818729816,0,0,1,0,1
Sunny,0.09732285865923691,0.5344387270951236,-0.829836617284484,-0.5936483429560958,1,0,0,0,-0.04655182631292021,1.1964949555258777,0,0,0,1,-0.709325818729816,0,1,0,0,1
Sunny,0.5319595014873423,-1.9386354151875924,0.5176348863923775,-0.906086929611385,1,0,0,0,0.3653888957776603,-0.1965312766523278,1,0,0,0,0.08052361065840993,1,0,0,0,1
Cloudy,-0.047556022283464866,0.27682683727400736,0.8063787800374194,0.17009042442349992,0,0,0,1,0.09841100931406342,-0.75374176952361,1,0,0,0,0.27798596800546643,1,0,0,1,0
Sunny,0.31464118007328956,-1.1142773677600204,-1.3110764400262203,-0.801940734059622,0,0,0,1,0.006619870152575596,1.475100201961519,0,0,0,1,0.4754483253525229,0,1,0,0,1
Sunny,0.6043989419586931,-1.887113037223369,-1.214828475477873,-1.114379320714911,1,0,0,0,0.4163217839709299,1.1964949555258777,0,0,1,0,-0.709325818729816,0,0,1,0,1
Cloudy,0.024883418187886024,-0.23839694236822517,1.4801145318758502,0.23952122145800864,0,0,0,1,0.14290732372466397,-0.75374176952361,0,0,0,1,0.4754483253525229,0,0,1,1,0
Sunny,1.0390355847867985,0.27682683727400736,-1.0223325463811785,-0.4895021474043328,0,0,0,1,0.4140829756986941,0.6392844626545956,1,0,0,0,0.27798596800546643,0,0,1,0,1
Sunny,-0.4821926651115702,-0.8051430999746809,0.5176348863923775,-0.7325099370251132,1,0,0,0,0.15829913059625375,1.475100201961519,0,1,0,0,-0.5118634613827596,0,0,1,0,1
Sunny,-0.4097532246402193,-0.4444864542251182,-1.4073244045745676,-0.4895021474043328,1,0,0,0,0.07686247969383643,-0.1965312766523278,0,0,1,0,0.27798596800546643,1,0,0,0,1
