[LOG] Escribiendo logs en: outputs/lstm_summary_line_cls\log\train_20250831-223045.log
Modelo seleccionado: LSTM (Clasificación Summary, *una línea -> clase*)
Modo: SIN ventanas deslizantes (seq_len=1).
Dataset: data/weather_classification_Cloudy_Sunny_normalized.csv
Tiempo: None | Clases: 2
Features (18): ['Temperature_normalized', 'Humidity_normalized', 'Wind Speed_normalized', 'Precipitation (%)_normalized', 'Cloud Cover_clear', 'Cloud Cover_cloudy', 'Cloud Cover_overcast', 'Cloud Cover_partly cloudy', 'Atmospheric Pressure_normalized', 'UV Index_normalized', 'Season_Autumn', 'Season_Spring', 'Season_Summer', 'Season_Winter', 'Visibility (km)_normalized', 'Location_coastal', 'Location_inland', 'Location_mountain']
Nota: excluimos 'Summary_*' de FEATURES para evitar fuga de información.
Salida: outputs/lstm_summary_line_cls (guardado class_index.json)
Inicio entrenamiento — clases=2 | muestras: train=4620, val=990, test=990
Epoch 001 | train_loss=0.6616 | train_acc=0.7431 | train_f1=0.7282 | val_loss=0.6227 | val_acc=0.8737 | val_f1=0.8724
Epoch 002 | train_loss=0.5792 | train_acc=0.8983 | train_f1=0.8980 | val_loss=0.5335 | val_acc=0.8869 | val_f1=0.8861
Epoch 003 | train_loss=0.4770 | train_acc=0.9004 | train_f1=0.9002 | val_loss=0.4369 | val_acc=0.8919 | val_f1=0.8912
Epoch 004 | train_loss=0.3794 | train_acc=0.9037 | train_f1=0.9035 | val_loss=0.3571 | val_acc=0.8909 | val_f1=0.8903
Epoch 005 | train_loss=0.3055 | train_acc=0.9045 | train_f1=0.9044 | val_loss=0.3017 | val_acc=0.9000 | val_f1=0.8995
Epoch 006 | train_loss=0.2587 | train_acc=0.9126 | train_f1=0.9125 | val_loss=0.2691 | val_acc=0.9020 | val_f1=0.9016
Epoch 007 | train_loss=0.2343 | train_acc=0.9165 | train_f1=0.9164 | val_loss=0.2514 | val_acc=0.9020 | val_f1=0.9016
Epoch 008 | train_loss=0.2175 | train_acc=0.9190 | train_f1=0.9190 | val_loss=0.2360 | val_acc=0.9040 | val_f1=0.9037
Epoch 009 | train_loss=0.2041 | train_acc=0.9245 | train_f1=0.9244 | val_loss=0.2230 | val_acc=0.9111 | val_f1=0.9109
Epoch 010 | train_loss=0.1926 | train_acc=0.9288 | train_f1=0.9288 | val_loss=0.2118 | val_acc=0.9131 | val_f1=0.9129
Epoch 011 | train_loss=0.1826 | train_acc=0.9312 | train_f1=0.9311 | val_loss=0.2025 | val_acc=0.9152 | val_f1=0.9150
Epoch 012 | train_loss=0.1746 | train_acc=0.9333 | train_f1=0.9333 | val_loss=0.1949 | val_acc=0.9172 | val_f1=0.9170
Epoch 013 | train_loss=0.1683 | train_acc=0.9340 | train_f1=0.9339 | val_loss=0.1891 | val_acc=0.9202 | val_f1=0.9200
Epoch 014 | train_loss=0.1618 | train_acc=0.9340 | train_f1=0.9340 | val_loss=0.1843 | val_acc=0.9232 | val_f1=0.9231
Epoch 015 | train_loss=0.1568 | train_acc=0.9351 | train_f1=0.9350 | val_loss=0.1797 | val_acc=0.9232 | val_f1=0.9231
Epoch 016 | train_loss=0.1522 | train_acc=0.9379 | train_f1=0.9379 | val_loss=0.1759 | val_acc=0.9232 | val_f1=0.9230
Epoch 017 | train_loss=0.1482 | train_acc=0.9372 | train_f1=0.9372 | val_loss=0.1727 | val_acc=0.9253 | val_f1=0.9250
Epoch 018 | train_loss=0.1450 | train_acc=0.9381 | train_f1=0.9381 | val_loss=0.1697 | val_acc=0.9273 | val_f1=0.9271
Epoch 019 | train_loss=0.1421 | train_acc=0.9394 | train_f1=0.9394 | val_loss=0.1676 | val_acc=0.9253 | val_f1=0.9251
Epoch 020 | train_loss=0.1394 | train_acc=0.9392 | train_f1=0.9392 | val_loss=0.1663 | val_acc=0.9242 | val_f1=0.9241
Epoch 021 | train_loss=0.1371 | train_acc=0.9403 | train_f1=0.9402 | val_loss=0.1643 | val_acc=0.9242 | val_f1=0.9241
Epoch 022 | train_loss=0.1353 | train_acc=0.9403 | train_f1=0.9402 | val_loss=0.1630 | val_acc=0.9242 | val_f1=0.9241
Epoch 023 | train_loss=0.1334 | train_acc=0.9433 | train_f1=0.9433 | val_loss=0.1619 | val_acc=0.9253 | val_f1=0.9251
Epoch 024 | train_loss=0.1318 | train_acc=0.9429 | train_f1=0.9428 | val_loss=0.1614 | val_acc=0.9253 | val_f1=0.9251
Epoch 025 | train_loss=0.1305 | train_acc=0.9439 | train_f1=0.9439 | val_loss=0.1600 | val_acc=0.9253 | val_f1=0.9251
Epoch 026 | train_loss=0.1291 | train_acc=0.9435 | train_f1=0.9435 | val_loss=0.1599 | val_acc=0.9232 | val_f1=0.9231
Epoch 027 | train_loss=0.1278 | train_acc=0.9437 | train_f1=0.9437 | val_loss=0.1595 | val_acc=0.9253 | val_f1=0.9251
Epoch 028 | train_loss=0.1266 | train_acc=0.9448 | train_f1=0.9448 | val_loss=0.1593 | val_acc=0.9232 | val_f1=0.9230
Epoch 029 | train_loss=0.1258 | train_acc=0.9446 | train_f1=0.9446 | val_loss=0.1582 | val_acc=0.9222 | val_f1=0.9220
Epoch 030 | train_loss=0.1249 | train_acc=0.9450 | train_f1=0.9450 | val_loss=0.1584 | val_acc=0.9242 | val_f1=0.9240
Epoch 031 | train_loss=0.1242 | train_acc=0.9446 | train_f1=0.9446 | val_loss=0.1580 | val_acc=0.9242 | val_f1=0.9240
Epoch 032 | train_loss=0.1234 | train_acc=0.9450 | train_f1=0.9450 | val_loss=0.1576 | val_acc=0.9242 | val_f1=0.9240
Epoch 033 | train_loss=0.1228 | train_acc=0.9452 | train_f1=0.9452 | val_loss=0.1572 | val_acc=0.9242 | val_f1=0.9240
Epoch 034 | train_loss=0.1224 | train_acc=0.9455 | train_f1=0.9454 | val_loss=0.1573 | val_acc=0.9253 | val_f1=0.9251
Epoch 035 | train_loss=0.1218 | train_acc=0.9463 | train_f1=0.9463 | val_loss=0.1573 | val_acc=0.9253 | val_f1=0.9251
Epoch 036 | train_loss=0.1214 | train_acc=0.9465 | train_f1=0.9465 | val_loss=0.1571 | val_acc=0.9232 | val_f1=0.9231
Epoch 037 | train_loss=0.1210 | train_acc=0.9468 | train_f1=0.9467 | val_loss=0.1569 | val_acc=0.9242 | val_f1=0.9241
Epoch 038 | train_loss=0.1207 | train_acc=0.9468 | train_f1=0.9467 | val_loss=0.1568 | val_acc=0.9242 | val_f1=0.9241
Epoch 039 | train_loss=0.1204 | train_acc=0.9470 | train_f1=0.9470 | val_loss=0.1568 | val_acc=0.9242 | val_f1=0.9241
Epoch 040 | train_loss=0.1202 | train_acc=0.9472 | train_f1=0.9472 | val_loss=0.1567 | val_acc=0.9242 | val_f1=0.9241
Epoch 041 | train_loss=0.1200 | train_acc=0.9474 | train_f1=0.9474 | val_loss=0.1566 | val_acc=0.9232 | val_f1=0.9231
Epoch 042 | train_loss=0.1198 | train_acc=0.9472 | train_f1=0.9472 | val_loss=0.1566 | val_acc=0.9232 | val_f1=0.9231
Epoch 043 | train_loss=0.1197 | train_acc=0.9472 | train_f1=0.9472 | val_loss=0.1567 | val_acc=0.9232 | val_f1=0.9231
Epoch 044 | train_loss=0.1196 | train_acc=0.9472 | train_f1=0.9472 | val_loss=0.1567 | val_acc=0.9232 | val_f1=0.9231
Epoch 045 | train_loss=0.1195 | train_acc=0.9474 | train_f1=0.9474 | val_loss=0.1566 | val_acc=0.9232 | val_f1=0.9231
Epoch 046 | train_loss=0.1194 | train_acc=0.9474 | train_f1=0.9474 | val_loss=0.1566 | val_acc=0.9232 | val_f1=0.9231
