[LOG] Escribiendo logs en: outputs/lstm_summary_line_cls\log\train_20250831-223837.log
Modelo seleccionado: LSTM (Clasificación Summary, *una línea -> clase*)
Modo: SIN ventanas deslizantes (seq_len=1).
Dataset: data/weather_classification_Rainy_Snowy_normalized.csv
Tiempo: None | Clases: 2
Features (17): ['Temperature_normalized', 'Humidity_normalized', 'Wind Speed_normalized', 'Precipitation (%)_normalized', 'Cloud Cover_cloudy', 'Cloud Cover_overcast', 'Cloud Cover_partly cloudy', 'Atmospheric Pressure_normalized', 'UV Index_normalized', 'Season_Autumn', 'Season_Spring', 'Season_Summer', 'Season_Winter', 'Visibility (km)_normalized', 'Location_coastal', 'Location_inland', 'Location_mountain']
Nota: excluimos 'Summary_*' de FEATURES para evitar fuga de información.
Salida: outputs/lstm_summary_line_cls (guardado class_index.json)
Inicio entrenamiento — clases=2 | muestras: train=4620, val=990, test=990
Epoch 001 | train_loss=0.6607 | train_acc=0.7461 | train_f1=0.7379 | val_loss=0.6237 | val_acc=0.8485 | val_f1=0.8484
Epoch 002 | train_loss=0.5873 | train_acc=0.8786 | train_f1=0.8784 | val_loss=0.5385 | val_acc=0.8798 | val_f1=0.8798
Epoch 003 | train_loss=0.4931 | train_acc=0.8907 | train_f1=0.8906 | val_loss=0.4392 | val_acc=0.8980 | val_f1=0.8979
Epoch 004 | train_loss=0.3892 | train_acc=0.9067 | train_f1=0.9067 | val_loss=0.3402 | val_acc=0.9222 | val_f1=0.9222
Epoch 005 | train_loss=0.2962 | train_acc=0.9203 | train_f1=0.9203 | val_loss=0.2600 | val_acc=0.9293 | val_f1=0.9293
Epoch 006 | train_loss=0.2275 | train_acc=0.9303 | train_f1=0.9302 | val_loss=0.2036 | val_acc=0.9333 | val_f1=0.9333
Epoch 007 | train_loss=0.1836 | train_acc=0.9348 | train_f1=0.9348 | val_loss=0.1650 | val_acc=0.9354 | val_f1=0.9353
Epoch 008 | train_loss=0.1573 | train_acc=0.9396 | train_f1=0.9396 | val_loss=0.1409 | val_acc=0.9404 | val_f1=0.9404
Epoch 009 | train_loss=0.1398 | train_acc=0.9437 | train_f1=0.9437 | val_loss=0.1246 | val_acc=0.9485 | val_f1=0.9484
Epoch 010 | train_loss=0.1279 | train_acc=0.9472 | train_f1=0.9472 | val_loss=0.1129 | val_acc=0.9515 | val_f1=0.9515
Epoch 011 | train_loss=0.1185 | train_acc=0.9506 | train_f1=0.9506 | val_loss=0.1050 | val_acc=0.9505 | val_f1=0.9505
Epoch 012 | train_loss=0.1116 | train_acc=0.9517 | train_f1=0.9517 | val_loss=0.0985 | val_acc=0.9556 | val_f1=0.9555
Epoch 013 | train_loss=0.1059 | train_acc=0.9537 | train_f1=0.9537 | val_loss=0.0943 | val_acc=0.9566 | val_f1=0.9565
Epoch 014 | train_loss=0.1017 | train_acc=0.9530 | train_f1=0.9530 | val_loss=0.0915 | val_acc=0.9556 | val_f1=0.9555
Epoch 015 | train_loss=0.0982 | train_acc=0.9563 | train_f1=0.9563 | val_loss=0.0889 | val_acc=0.9566 | val_f1=0.9565
Epoch 016 | train_loss=0.0951 | train_acc=0.9571 | train_f1=0.9571 | val_loss=0.0865 | val_acc=0.9586 | val_f1=0.9586
Epoch 017 | train_loss=0.0925 | train_acc=0.9563 | train_f1=0.9563 | val_loss=0.0845 | val_acc=0.9535 | val_f1=0.9535
Epoch 018 | train_loss=0.0903 | train_acc=0.9567 | train_f1=0.9567 | val_loss=0.0827 | val_acc=0.9566 | val_f1=0.9565
Epoch 019 | train_loss=0.0884 | train_acc=0.9580 | train_f1=0.9580 | val_loss=0.0820 | val_acc=0.9566 | val_f1=0.9566
Epoch 020 | train_loss=0.0868 | train_acc=0.9591 | train_f1=0.9591 | val_loss=0.0805 | val_acc=0.9566 | val_f1=0.9565
Epoch 021 | train_loss=0.0856 | train_acc=0.9591 | train_f1=0.9591 | val_loss=0.0790 | val_acc=0.9586 | val_f1=0.9586
Epoch 022 | train_loss=0.0842 | train_acc=0.9597 | train_f1=0.9597 | val_loss=0.0786 | val_acc=0.9576 | val_f1=0.9576
Epoch 023 | train_loss=0.0831 | train_acc=0.9597 | train_f1=0.9597 | val_loss=0.0779 | val_acc=0.9576 | val_f1=0.9575
Epoch 024 | train_loss=0.0822 | train_acc=0.9621 | train_f1=0.9621 | val_loss=0.0769 | val_acc=0.9586 | val_f1=0.9586
Epoch 025 | train_loss=0.0815 | train_acc=0.9619 | train_f1=0.9619 | val_loss=0.0764 | val_acc=0.9576 | val_f1=0.9575
Epoch 026 | train_loss=0.0807 | train_acc=0.9626 | train_f1=0.9625 | val_loss=0.0759 | val_acc=0.9606 | val_f1=0.9606
Epoch 027 | train_loss=0.0801 | train_acc=0.9628 | train_f1=0.9628 | val_loss=0.0758 | val_acc=0.9586 | val_f1=0.9586
Epoch 028 | train_loss=0.0794 | train_acc=0.9626 | train_f1=0.9625 | val_loss=0.0751 | val_acc=0.9596 | val_f1=0.9596
Epoch 029 | train_loss=0.0788 | train_acc=0.9634 | train_f1=0.9634 | val_loss=0.0746 | val_acc=0.9596 | val_f1=0.9596
Epoch 030 | train_loss=0.0784 | train_acc=0.9628 | train_f1=0.9628 | val_loss=0.0745 | val_acc=0.9576 | val_f1=0.9575
Epoch 031 | train_loss=0.0780 | train_acc=0.9628 | train_f1=0.9628 | val_loss=0.0743 | val_acc=0.9596 | val_f1=0.9596
Epoch 032 | train_loss=0.0775 | train_acc=0.9628 | train_f1=0.9628 | val_loss=0.0742 | val_acc=0.9586 | val_f1=0.9586
Epoch 033 | train_loss=0.0772 | train_acc=0.9628 | train_f1=0.9628 | val_loss=0.0739 | val_acc=0.9576 | val_f1=0.9576
Epoch 034 | train_loss=0.0769 | train_acc=0.9630 | train_f1=0.9630 | val_loss=0.0736 | val_acc=0.9586 | val_f1=0.9586
Epoch 035 | train_loss=0.0767 | train_acc=0.9630 | train_f1=0.9630 | val_loss=0.0730 | val_acc=0.9596 | val_f1=0.9596
