feature,delta_acc
doy_cos,0.042836215858614496
Visibility (km)_normalized,0.030112938285606267
doy_sin,0.029823504394669687
Humidity_normalized,0.022575843493053582
h_cos,0.018080757962385396
Temperature (C)_normalized,0.01738375389849728
Wind Speed (km/h)_normalized,0.012977270579340339
dow_sin,0.010514129099328973
h_sin,0.010147906625082692
dow_cos,0.006627445421037714
wind_bearing_cos,0.006574284094130967
Pressure (millibars)_normalized,0.005942254985351059
wind_bearing_sin,0.0038217087231830482
Summary_Mostly Cloudy,0.003768547396276356
Summary_Clear,0.0032723750118135997
Summary_Overcast,0.0023568188261978706
Summary_Foggy,0.00113410830734334
Precip Type_normalized,-0.0011045742368396283
Summary_Partly Cloudy,-0.009870286362347602
