h,MAE_z,RMSE_z,MAE_C,RMSE_C
1,0.07354859262704849,0.09870346635580063,0.7255759239196777,0.9737353324890137
2,0.0947757288813591,0.12818792462348938,0.9349871277809143,1.2646069526672363
3,0.11480370163917542,0.15533801913261414,1.132568359375,1.5324498414993286
4,0.1325821876525879,0.17963667213916779,1.307957649230957,1.7721623182296753
5,0.1467115581035614,0.19978900253772736,1.4473475217819214,1.9709702730178833
6,0.1602829396724701,0.21749642491340637,1.5812327861785889,2.1456587314605713
7,0.16910246014595032,0.23132716119289398,1.6682395935058594,2.282102346420288
8,0.1785789579153061,0.24386462569236755,1.7617279291152954,2.405787944793701
9,0.18480753898620605,0.2530437707901001,1.823174238204956,2.496342420578003
10,0.19216324388980865,0.2623044550418854,1.895740270614624,2.5877015590667725
11,0.19640250504016876,0.2683604657649994,1.9375615119934082,2.6474454402923584
12,0.20090101659297943,0.2735116183757782,1.9819406270980835,2.698263168334961
13,0.20334307849407196,0.2770192325115204,2.0060322284698486,2.7328667640686035
14,0.2063780426979065,0.2802024781703949,2.035972833633423,2.764270067214966
15,0.20796649158000946,0.28247466683387756,2.0516433715820312,2.7866859436035156
16,0.21050973236560822,0.2848764955997467,2.076733112335205,2.810380458831787
17,0.2124825417995453,0.2871200740337372,2.0961954593658447,2.8325140476226807
18,0.21418648958206177,0.2889386713504791,2.1130051612854004,2.850454807281494
19,0.2160336822271347,0.29081931710243225,2.13122820854187,2.8690078258514404
20,0.21711352467536926,0.2924764156341553,2.141881227493286,2.8853554725646973
21,0.21901488304138184,0.2947646975517273,2.1606385707855225,2.907930374145508
22,0.21932964026927948,0.2958585321903229,2.163743734359741,2.9187209606170654
23,0.22052916884422302,0.29618918895721436,2.175577163696289,2.921983242034912
24,0.2215152382850647,0.2963572144508362,2.185305118560791,2.923640727996826
