Formatted Date,pred_Temperature (C)_normalized,pred_Temperature (C)
2016-12-31 23:00:00,-1.4398998,-1.8205194
2017-01-01 00:00:00,-1.4442167,-1.8617525
2017-01-01 01:00:00,-1.524504,-2.6286163
2017-01-01 02:00:00,-1.4105561,-1.5402431
2017-01-01 03:00:00,-1.4960091,-2.3564472
2017-01-01 04:00:00,-1.5095118,-2.4854183
2017-01-01 05:00:00,-1.5027119,-2.4204693
2017-01-01 06:00:00,-1.4637277,-2.048112
2017-01-01 07:00:00,-1.4389063,-1.8110304
2017-01-01 08:00:00,-1.4754539,-2.1601143
2017-01-01 09:00:00,-1.4358102,-1.7814579
2017-01-01 10:00:00,-1.3445237,-0.90953445
2017-01-01 11:00:00,-1.2745922,-0.24158478
2017-01-01 12:00:00,-1.1437345,1.0083027
2017-01-01 13:00:00,-1.3134422,-0.6126604
2017-01-01 14:00:00,-1.2877591,-0.36734772
2017-01-01 15:00:00,-1.247074,0.021255493
2017-01-01 16:00:00,-1.2918875,-0.4067812
2017-01-01 17:00:00,-1.3799535,-1.2479429
2017-01-01 18:00:00,-1.4499657,-1.9166641
2017-01-01 19:00:00,-1.450588,-1.9226074
2017-01-01 20:00:00,-1.5015082,-2.4089727
2017-01-01 21:00:00,-1.51874,-2.5735617
2017-01-01 22:00:00,-1.5298963,-2.6801205
2017-01-01 23:00:00,-1.4952774,-2.3494587
2017-01-02 00:00:00,-1.5653187,-3.0184584
2017-01-02 01:00:00,-1.5811884,-3.1700373
2017-01-02 02:00:00,-1.5248885,-2.632289
2017-01-02 03:00:00,-1.6161658,-3.5041237
2017-01-02 04:00:00,-1.6280575,-3.6177073
2017-01-02 05:00:00,-1.5646397,-3.0119724
2017-01-02 06:00:00,-1.6420522,-3.751377
2017-01-02 07:00:00,-1.5199796,-2.5854015
2017-01-02 08:00:00,-1.4081026,-1.5168095
2017-01-02 09:00:00,-1.4145339,-1.5782366
2017-01-02 10:00:00,-1.3531215,-0.99165726
2017-01-02 11:00:00,-1.2885544,-0.3749447
2017-01-02 12:00:00,-1.3075122,-0.5560198
2017-01-02 13:00:00,-1.2246047,0.23587036
2017-01-02 14:00:00,-1.3973083,-1.4137077
2017-01-02 15:00:00,-1.2999511,-0.48379993
2017-01-02 16:00:00,-1.3570561,-1.0292387
2017-01-02 17:00:00,-1.3427336,-0.892437
2017-01-02 18:00:00,-1.41184,-1.5525064
2017-01-02 19:00:00,-1.4555228,-1.9697428
2017-01-02 20:00:00,-1.5088885,-2.4794645
2017-01-02 21:00:00,-1.6458251,-3.7874146
2017-01-02 22:00:00,-1.5247557,-2.6310205
2017-01-02 23:00:00,-1.5748315,-3.1093197
2017-01-03 00:00:00,-1.5297297,-2.6785297
2017-01-03 01:00:00,-1.5878613,-3.2337732
2017-01-03 02:00:00,-1.6270893,-3.6084595
2017-01-03 03:00:00,-1.5910286,-3.2640257
2017-01-03 04:00:00,-1.5832543,-3.1897697
2017-01-03 05:00:00,-1.6238472,-3.5774927
2017-01-03 06:00:00,-1.5981591,-3.3321323
2017-01-03 07:00:00,-1.5793993,-3.1529493
2017-01-03 08:00:00,-1.5189768,-2.5758238
2017-01-03 09:00:00,-1.4926608,-2.3244658
2017-01-03 10:00:00,-1.4234254,-1.6631651
2017-01-03 11:00:00,-1.3578998,-1.0372972
2017-01-03 12:00:00,-1.3839604,-1.2862148
2017-01-03 13:00:00,-1.2986243,-0.47112656
