feature,delta_mse,delta_mse_%
doy_cos,0.16708724639645894,101.70186265316879
h_cos,0.04773263898816438,29.05367344991128
h_sin,0.047557181245324626,28.946876673684667
doy_sin,0.03357271352174257,20.434878024028567
Precip Type_normalized,0.007046999391352782,4.2893337443348605
Summary_Clear,0.005298209957557143,3.22488899082454
dow_cos,0.0029690381471473293,1.8071798797660703
Humidity_normalized,0.0011451748928221206,0.6970395537389193
Summary_Overcast,0.0011067062911420678,0.6736246700245684
Summary_Foggy,0.0008096129144772313,0.4927913003905968
trend_normalized,0.0006787106394767761,0.4131143323382598
dow_sin,0.0005893502200003953,0.358722861389888
Pressure (millibars)_normalized,6.44161522683484e-05,0.03920851418603554
Visibility (km)_normalized,-0.00032136600353929734,-0.19560751558381076
wind_bearing_sin,-0.0022085556520684,-1.3442930470921943
Apparent Temperature (C)_normalized,-0.0028657607439130928,-1.74431748598419
Wind Speed (km/h)_normalized,-0.0036271689183051126,-2.207767756696523
Summary_Mostly Cloudy,-0.0040197421123485955,-2.4467173230038903
Temperature (C)_normalized,-0.004755293895112422,-2.8944294494425575
Summary_Partly Cloudy,-0.006621926506557102,-4.030602422349339
wind_bearing_cos,-0.007592904870167838,-4.621612869315627
