h,mae_z,rmse_z,mae_C,rmse_C
0,0.080185555,0.10926356,0.79104537,1.0779053
1,0.10349443,0.13957277,1.0209918,1.3769113
2,0.12154559,0.1629429,1.1990699,1.6074619
3,0.13619447,0.18285175,1.3435837,1.8038664
4,0.1471918,0.19805376,1.4520744,1.9538372
5,0.1565204,0.21141976,1.5441028,2.0856953
6,0.16356076,0.22228172,1.6135573,2.1928506
7,0.1693428,0.23095982,1.6705981,2.2784615
8,0.17642222,0.2409322,1.740438,2.3768408
9,0.18037543,0.24755636,1.7794371,2.4421895
10,0.18451078,0.25336263,1.8202331,2.4994693
11,0.18757445,0.25706208,1.8504567,2.5359652
12,0.18990754,0.2608663,1.8734732,2.5734947
13,0.19437507,0.26742205,1.9175462,2.638168
14,0.19907035,0.27287874,1.963866,2.6919994
15,0.19989683,0.27245682,1.9720193,2.6878371
16,0.20120598,0.27284086,1.9849344,2.6916258
17,0.20102939,0.27344692,1.9831923,2.6976047
18,0.20090277,0.27478108,1.9819431,2.7107663
19,0.20131508,0.2761123,1.9860106,2.7238991
20,0.20242836,0.2779755,1.9969933,2.74228
21,0.20508133,0.2801686,2.0231655,2.7639153
22,0.20682752,0.28253797,2.040392,2.7872896
23,0.2118914,0.28894743,2.090348,2.8505201
