[LOG] Escribiendo logs en: outputs/lstm_summary_line_cls\log\train_20250831-222710.log
Modelo seleccionado: LSTM (Clasificación Summary, *una línea -> clase*)
Modo: SIN ventanas deslizantes (seq_len=1).
Dataset: data/weather_classification_normalized.csv
Tiempo: None | Clases: 4
Features (18): ['Temperature_normalized', 'Humidity_normalized', 'Wind Speed_normalized', 'Precipitation (%)_normalized', 'Cloud Cover_clear', 'Cloud Cover_cloudy', 'Cloud Cover_overcast', 'Cloud Cover_partly cloudy', 'Atmospheric Pressure_normalized', 'UV Index_normalized', 'Season_Autumn', 'Season_Spring', 'Season_Summer', 'Season_Winter', 'Visibility (km)_normalized', 'Location_coastal', 'Location_inland', 'Location_mountain']
Nota: excluimos 'Summary_*' de FEATURES para evitar fuga de información.
Salida: outputs/lstm_summary_line_cls (guardado class_index.json)
Inicio entrenamiento — clases=4 | muestras: train=9240, val=1980, test=1980
Epoch 001 | train_loss=1.2765 | train_acc=0.6407 | train_f1=0.6092 | val_loss=1.1534 | val_acc=0.7096 | val_f1=0.7028
Epoch 002 | train_loss=0.9954 | train_acc=0.7527 | train_f1=0.7450 | val_loss=0.8706 | val_acc=0.7788 | val_f1=0.7764
Epoch 003 | train_loss=0.7248 | train_acc=0.8350 | train_f1=0.8334 | val_loss=0.6383 | val_acc=0.8384 | val_f1=0.8387
Epoch 004 | train_loss=0.5345 | train_acc=0.8583 | train_f1=0.8579 | val_loss=0.4986 | val_acc=0.8551 | val_f1=0.8561
Epoch 005 | train_loss=0.4353 | train_acc=0.8721 | train_f1=0.8720 | val_loss=0.4257 | val_acc=0.8636 | val_f1=0.8647
Epoch 006 | train_loss=0.3846 | train_acc=0.8819 | train_f1=0.8819 | val_loss=0.3834 | val_acc=0.8702 | val_f1=0.8712
Epoch 007 | train_loss=0.3533 | train_acc=0.8867 | train_f1=0.8867 | val_loss=0.3534 | val_acc=0.8763 | val_f1=0.8769
Epoch 008 | train_loss=0.3312 | train_acc=0.8908 | train_f1=0.8908 | val_loss=0.3334 | val_acc=0.8803 | val_f1=0.8810
Epoch 009 | train_loss=0.3151 | train_acc=0.8940 | train_f1=0.8940 | val_loss=0.3190 | val_acc=0.8828 | val_f1=0.8836
Epoch 010 | train_loss=0.3033 | train_acc=0.8969 | train_f1=0.8968 | val_loss=0.3086 | val_acc=0.8833 | val_f1=0.8840
Epoch 011 | train_loss=0.2943 | train_acc=0.8987 | train_f1=0.8986 | val_loss=0.3007 | val_acc=0.8859 | val_f1=0.8862
Epoch 012 | train_loss=0.2862 | train_acc=0.8981 | train_f1=0.8980 | val_loss=0.2935 | val_acc=0.8894 | val_f1=0.8899
Epoch 013 | train_loss=0.2792 | train_acc=0.9008 | train_f1=0.9007 | val_loss=0.2870 | val_acc=0.8869 | val_f1=0.8873
Epoch 014 | train_loss=0.2737 | train_acc=0.9031 | train_f1=0.9031 | val_loss=0.2825 | val_acc=0.8894 | val_f1=0.8897
Epoch 015 | train_loss=0.2685 | train_acc=0.9030 | train_f1=0.9030 | val_loss=0.2780 | val_acc=0.8904 | val_f1=0.8908
Epoch 016 | train_loss=0.2638 | train_acc=0.9047 | train_f1=0.9046 | val_loss=0.2740 | val_acc=0.8924 | val_f1=0.8927
Epoch 017 | train_loss=0.2597 | train_acc=0.9064 | train_f1=0.9063 | val_loss=0.2713 | val_acc=0.8919 | val_f1=0.8923
Epoch 018 | train_loss=0.2560 | train_acc=0.9058 | train_f1=0.9058 | val_loss=0.2690 | val_acc=0.8939 | val_f1=0.8944
Epoch 019 | train_loss=0.2530 | train_acc=0.9091 | train_f1=0.9091 | val_loss=0.2659 | val_acc=0.8949 | val_f1=0.8953
Epoch 020 | train_loss=0.2498 | train_acc=0.9081 | train_f1=0.9081 | val_loss=0.2639 | val_acc=0.8949 | val_f1=0.8953
Epoch 021 | train_loss=0.2471 | train_acc=0.9085 | train_f1=0.9085 | val_loss=0.2623 | val_acc=0.8949 | val_f1=0.8952
Epoch 022 | train_loss=0.2442 | train_acc=0.9095 | train_f1=0.9095 | val_loss=0.2601 | val_acc=0.8960 | val_f1=0.8964
Epoch 023 | train_loss=0.2421 | train_acc=0.9094 | train_f1=0.9094 | val_loss=0.2583 | val_acc=0.8960 | val_f1=0.8964
Epoch 024 | train_loss=0.2400 | train_acc=0.9109 | train_f1=0.9109 | val_loss=0.2569 | val_acc=0.8980 | val_f1=0.8984
Epoch 025 | train_loss=0.2383 | train_acc=0.9104 | train_f1=0.9104 | val_loss=0.2559 | val_acc=0.8955 | val_f1=0.8959
Epoch 026 | train_loss=0.2368 | train_acc=0.9118 | train_f1=0.9118 | val_loss=0.2551 | val_acc=0.8965 | val_f1=0.8969
Epoch 027 | train_loss=0.2350 | train_acc=0.9107 | train_f1=0.9107 | val_loss=0.2536 | val_acc=0.8980 | val_f1=0.8984
Epoch 028 | train_loss=0.2336 | train_acc=0.9118 | train_f1=0.9118 | val_loss=0.2526 | val_acc=0.8980 | val_f1=0.8984
Epoch 029 | train_loss=0.2323 | train_acc=0.9115 | train_f1=0.9115 | val_loss=0.2519 | val_acc=0.8980 | val_f1=0.8984
Epoch 030 | train_loss=0.2312 | train_acc=0.9117 | train_f1=0.9117 | val_loss=0.2510 | val_acc=0.8985 | val_f1=0.8989
Epoch 031 | train_loss=0.2300 | train_acc=0.9122 | train_f1=0.9122 | val_loss=0.2502 | val_acc=0.8995 | val_f1=0.8999
Epoch 032 | train_loss=0.2290 | train_acc=0.9116 | train_f1=0.9116 | val_loss=0.2498 | val_acc=0.8995 | val_f1=0.9000
Epoch 033 | train_loss=0.2281 | train_acc=0.9116 | train_f1=0.9116 | val_loss=0.2492 | val_acc=0.8995 | val_f1=0.8999
Epoch 034 | train_loss=0.2273 | train_acc=0.9120 | train_f1=0.9120 | val_loss=0.2486 | val_acc=0.8990 | val_f1=0.8994
Epoch 035 | train_loss=0.2266 | train_acc=0.9123 | train_f1=0.9123 | val_loss=0.2482 | val_acc=0.9005 | val_f1=0.9008
Epoch 036 | train_loss=0.2259 | train_acc=0.9129 | train_f1=0.9129 | val_loss=0.2478 | val_acc=0.9020 | val_f1=0.9024
Epoch 037 | train_loss=0.2254 | train_acc=0.9132 | train_f1=0.9132 | val_loss=0.2477 | val_acc=0.9010 | val_f1=0.9014
Epoch 038 | train_loss=0.2249 | train_acc=0.9137 | train_f1=0.9137 | val_loss=0.2474 | val_acc=0.9020 | val_f1=0.9024
Epoch 039 | train_loss=0.2244 | train_acc=0.9136 | train_f1=0.9136 | val_loss=0.2471 | val_acc=0.9030 | val_f1=0.9034
Epoch 040 | train_loss=0.2241 | train_acc=0.9137 | train_f1=0.9137 | val_loss=0.2468 | val_acc=0.9030 | val_f1=0.9034
Epoch 041 | train_loss=0.2238 | train_acc=0.9135 | train_f1=0.9135 | val_loss=0.2467 | val_acc=0.9025 | val_f1=0.9030
Epoch 042 | train_loss=0.2235 | train_acc=0.9137 | train_f1=0.9137 | val_loss=0.2465 | val_acc=0.9025 | val_f1=0.9030
Epoch 043 | train_loss=0.2233 | train_acc=0.9140 | train_f1=0.9139 | val_loss=0.2464 | val_acc=0.9030 | val_f1=0.9034
Epoch 044 | train_loss=0.2232 | train_acc=0.9136 | train_f1=0.9136 | val_loss=0.2463 | val_acc=0.9035 | val_f1=0.9040
Epoch 045 | train_loss=0.2231 | train_acc=0.9140 | train_f1=0.9139 | val_loss=0.2463 | val_acc=0.9030 | val_f1=0.9034
Epoch 046 | train_loss=0.2230 | train_acc=0.9139 | train_f1=0.9138 | val_loss=0.2462 | val_acc=0.9035 | val_f1=0.9040
Epoch 047 | train_loss=0.2229 | train_acc=0.9140 | train_f1=0.9140 | val_loss=0.2462 | val_acc=0.9035 | val_f1=0.9040
Epoch 048 | train_loss=0.2229 | train_acc=0.9139 | train_f1=0.9138 | val_loss=0.2462 | val_acc=0.9040 | val_f1=0.9045
Epoch 049 | train_loss=0.2228 | train_acc=0.9140 | train_f1=0.9139 | val_loss=0.2461 | val_acc=0.9040 | val_f1=0.9045
Epoch 050 | train_loss=0.2228 | train_acc=0.9141 | train_f1=0.9140 | val_loss=0.2461 | val_acc=0.9040 | val_f1=0.9045
Epoch 051 | train_loss=0.2228 | train_acc=0.9140 | train_f1=0.9139 | val_loss=0.2461 | val_acc=0.9040 | val_f1=0.9045
Epoch 052 | train_loss=0.2228 | train_acc=0.9140 | train_f1=0.9139 | val_loss=0.2461 | val_acc=0.9040 | val_f1=0.9045
Epoch 053 | train_loss=0.2228 | train_acc=0.9141 | train_f1=0.9140 | val_loss=0.2461 | val_acc=0.9040 | val_f1=0.9045
Epoch 054 | train_loss=0.2228 | train_acc=0.9141 | train_f1=0.9140 | val_loss=0.2461 | val_acc=0.9040 | val_f1=0.9045
Epoch 055 | train_loss=0.2228 | train_acc=0.9140 | train_f1=0.9139 | val_loss=0.2461 | val_acc=0.9040 | val_f1=0.9045
Epoch 056 | train_loss=0.2228 | train_acc=0.9141 | train_f1=0.9141 | val_loss=0.2461 | val_acc=0.9040 | val_f1=0.9045
Epoch 057 | train_loss=0.2227 | train_acc=0.9141 | train_f1=0.9141 | val_loss=0.2460 | val_acc=0.9040 | val_f1=0.9045
Epoch 058 | train_loss=0.2227 | train_acc=0.9140 | train_f1=0.9140 | val_loss=0.2460 | val_acc=0.9040 | val_f1=0.9045
Epoch 059 | train_loss=0.2226 | train_acc=0.9140 | train_f1=0.9140 | val_loss=0.2459 | val_acc=0.9040 | val_f1=0.9045
Epoch 060 | train_loss=0.2226 | train_acc=0.9141 | train_f1=0.9141 | val_loss=0.2459 | val_acc=0.9040 | val_f1=0.9045
Epoch 061 | train_loss=0.2225 | train_acc=0.9142 | train_f1=0.9142 | val_loss=0.2458 | val_acc=0.9040 | val_f1=0.9045
Epoch 062 | train_loss=0.2223 | train_acc=0.9144 | train_f1=0.9144 | val_loss=0.2456 | val_acc=0.9035 | val_f1=0.9040
Epoch 063 | train_loss=0.2222 | train_acc=0.9145 | train_f1=0.9145 | val_loss=0.2456 | val_acc=0.9045 | val_f1=0.9050
Epoch 064 | train_loss=0.2220 | train_acc=0.9145 | train_f1=0.9145 | val_loss=0.2453 | val_acc=0.9035 | val_f1=0.9040
Epoch 065 | train_loss=0.2218 | train_acc=0.9146 | train_f1=0.9146 | val_loss=0.2451 | val_acc=0.9040 | val_f1=0.9045
Epoch 066 | train_loss=0.2215 | train_acc=0.9145 | train_f1=0.9145 | val_loss=0.2451 | val_acc=0.9045 | val_f1=0.9050
