Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
39.0,96,8.5,71.0,partly cloudy,1011.43,7,Spring,10.0,inland,Cloudy
30.0,64,7.0,16.0,clear,1018.72,5,Spring,5.5,mountain,Sunny
38.0,83,1.5,82.0,clear,1026.25,7,Spring,1.0,coastal,Sunny
32.0,55,3.5,26.0,overcast,1010.03,2,Summer,5.0,inland,Cloudy
28.0,74,8.5,107.0,clear,1012.13,8,Winter,7.5,coastal,Sunny
35.0,45,6.0,86.0,partly cloudy,879.88,2,Spring,1.0,mountain,Cloudy
38.0,43,2.0,16.0,clear,1029.16,11,Autumn,7.5,inland,Sunny
12.0,59,10.5,25.0,partly cloudy,1016.08,3,Autumn,5.5,mountain,Cloudy
24.0,21,3.5,8.0,clear,1018.88,8,Winter,5.5,coastal,Sunny
10.0,50,6.5,46.0,partly cloudy,1000.44,2,Summer,8.5,mountain,Cloudy
30.0,27,7.0,13.0,partly cloudy,1016.38,5,Spring,7.5,inland,Sunny
33.0,51,0.5,27.0,overcast,1009.18,3,Autumn,5.5,coastal,Cloudy
43.0,46,0.5,15.0,clear,1025.8,9,Spring,6.0,mountain,Sunny
13.0,102,12.0,72.0,clear,1012.25,4,Summer,8.0,inland,Sunny
33.0,36,7.5,18.0,clear,1014.29,8,Summer,9.5,mountain,Sunny
26.0,73,13.5,29.0,overcast,1012.02,1,Summer,9.0,inland,Cloudy
38.0,83,7.0,101.0,partly cloudy,1017.94,4,Spring,8.5,mountain,Cloudy
40.0,57,4.0,12.0,partly cloudy,1020.73,11,Winter,9.5,coastal,Sunny
24.0,61,6.5,3.0,partly cloudy,1018.15,7,Autumn,5.5,mountain,Sunny
29.0,69,3.0,15.0,clear,1012.09,10,Winter,5.5,inland,Sunny
35.0,21,10.0,6.0,clear,1026.81,5,Autumn,7.5,coastal,Sunny
27.0,64,11.5,37.0,partly cloudy,1017.27,3,Autumn,8.0,coastal,Cloudy
32.0,37,0.5,9.0,partly cloudy,1013.99,11,Winter,8.5,inland,Sunny
36.0,22,1.0,0.0,clear,1028.63,10,Summer,5.5,mountain,Sunny
28.0,54,15.0,39.0,partly cloudy,1018.86,3,Winter,8.5,mountain,Cloudy
42.0,64,2.0,18.0,partly cloudy,1028.55,8,Autumn,8.0,mountain,Sunny
21.0,43,10.0,11.0,clear,1019.41,11,Spring,6.0,mountain,Sunny
22.0,50,0.0,18.0,clear,1016.5,5,Summer,8.0,coastal,Sunny
33.0,66,9.0,18.0,partly cloudy,1014.34,3,Autumn,6.0,mountain,Cloudy
26.0,25,2.5,14.0,partly cloudy,1010.34,8,Winter,5.0,mountain,Sunny
25.0,55,8.5,37.0,partly cloudy,1014.49,4,Summer,7.5,inland,Cloudy
41.0,85,9.0,101.0,overcast,1017.89,3,Summer,7.5,mountain,Cloudy
33.0,41,0.0,4.0,clear,1018.56,7,Winter,9.5,coastal,Sunny
31.0,70,0.5,69.0,overcast,1074.07,3,Spring,12.5,inland,Sunny
10.0,64,14.0,18.0,overcast,1011.96,1,Spring,8.5,coastal,Cloudy
15.0,55,1.5,32.0,partly cloudy,1009.01,2,Autumn,5.5,inland,Cloudy
24.0,52,9.0,29.0,partly cloudy,1007.84,1,Autumn,8.0,mountain,Cloudy
25.0,89,1.5,87.0,partly cloudy,1017.16,11,Summer,6.5,mountain,Sunny
24.0,47,8.0,17.0,clear,1025.22,5,Summer,6.0,mountain,Sunny
21.0,54,3.0,17.0,clear,1026.15,7,Summer,8.0,mountain,Sunny
21.0,75,3.5,41.0,partly cloudy,1017.74,2,Winter,8.0,mountain,Cloudy
33.0,31,6.5,18.0,clear,1022.53,7,Summer,8.5,coastal,Sunny
34.0,47,5.0,4.0,clear,1027.53,9,Spring,10.0,inland,Sunny
21.0,66,13.5,29.0,partly cloudy,1018.98,3,Autumn,8.5,mountain,Cloudy
27.0,73,9.5,47.0,partly cloudy,1017.82,1,Summer,7.0,coastal,Cloudy
49.0,75,11.5,82.0,partly cloudy,1029.09,10,Summer,7.0,coastal,Sunny
32.0,35,2.5,63.0,partly cloudy,1160.48,2,Winter,0.0,coastal,Sunny
27.0,43,1.0,8.0,clear,1022.48,9,Summer,9.0,mountain,Sunny
12.0,56,9.5,19.0,partly cloudy,1014.4,4,Winter,6.5,mountain,Cloudy
15.0,81,28.5,71.0,partly cloudy,1008.0,4,Winter,6.0,inland,Cloudy
17.0,88,18.0,83.0,partly cloudy,1026.94,0,Spring,5.5,mountain,Sunny
28.0,35,9.5,0.0,partly cloudy,1023.62,9,Winter,10.0,coastal,Sunny
31.0,72,17.0,96.0,partly cloudy,1013.85,13,Winter,3.5,inland,Cloudy
40.0,66,8.0,5.0,clear,1019.82,5,Autumn,5.5,mountain,Sunny
20.0,24,3.0,6.0,clear,1013.68,9,Winter,6.5,mountain,Sunny
22.0,65,6.0,14.0,partly cloudy,1010.17,8,Autumn,7.0,coastal,Sunny
