Weather Type,Temperature_normalized,Humidity_normalized,Wind Speed_normalized,Precipitation (%)_normalized,Cloud Cover_cloudy,Cloud Cover_overcast,Cloud Cover_partly cloudy,Atmospheric Pressure_normalized,UV Index_normalized,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Visibility (km)_normalized,Location_coastal,Location_inland,Location_mountain,Weather Type_Rainy,Weather Type_Snowy
Rainy,0.22674019299733997,-0.34722883283085243,-0.3687977161870562,0.4032499891319492,0,0,1,0.3747224889369144,-0.08152571385840189,0,0,0,1,-0.029751976042993074,0,1,0,1,0
Rainy,1.0323016240189453,-0.2827669985594332,0.64106800736925,-0.5017577285300634,0,1,0,-0.1927208788300839,-0.38454164147370107,0,0,0,1,-0.37082922000981156,0,0,1,1,0
Snowy,-0.7647200297984822,1.1998551896832097,-0.5707708608983174,0.6295019185474524,0,1,0,-0.1870886865941819,-0.38454164147370107,0,0,0,1,0.14078664594041618,0,1,0,0,1
Snowy,-0.45488871017478777,0.42631317842617866,-0.8400683871799991,1.1951317420862102,0,0,1,-0.3676004477547985,-0.38454164147370107,0,0,0,1,-0.029751976042993074,0,1,0,0,1
Snowy,-0.45488871017478777,0.2973895098833401,-0.8400683871799991,-0.5017577285300634,0,1,0,0.05425075071416459,-0.6875575690890002,0,0,0,1,-0.8824450859600393,0,0,1,0,1
Snowy,-1.2604501411963933,0.5552368469690172,0.3717704810875683,-0.44519474617618765,0,1,0,-0.31888198491425696,-0.6875575690890002,0,0,0,1,-0.71190646397663,0,1,0,0,1
Snowy,-1.2604501411963933,-0.733999838459368,-0.503446479327897,0.007309112654818682,0,1,0,-0.1685024522157105,-0.38454164147370107,0,0,0,1,-0.20029059802640234,0,0,1,0,1
Snowy,-1.0745513494221768,0.6196986812404364,0.03514857323546629,1.3082577067939618,0,1,0,-0.48446843664974065,-0.38454164147370107,0,0,0,1,-0.20029059802640234,0,1,0,0,1
Snowy,-0.3929224462500489,0.039542172797663096,-1.5133122028842032,0.5729389361935766,0,0,1,-0.4219511028312421,-0.38454164147370107,0,0,0,1,0.3113252679238254,0,1,0,0,1
Rainy,0.41263898477155664,-0.4116906671022717,-0.6380952424687378,-0.7280096579455666,0,1,0,0.3561362545584398,-0.08152571385840189,0,0,1,0,-0.20029059802640234,0,0,1,1,0
